,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
89,TROGIR,9,BIRAČKO MJESTO BROJ 9 U TROGIRU GRAD,OŠ PETAR BERISLAVIĆ,"OBALA BANA BERISLAVIĆA 16, TROGIR",712,314,20,98,98,"9 BIRAČKO MJESTO BROJ 9 U TROGIRU GRAD, TROGIR",Nema u 2016/2015
90,OZALJ,25,BIRČKO MJESTO BROJ 25 RADATOVIĆI,VATROGASNI DOM,"RADATOVIĆI, OZALJ",164,55,0,2,45,"25 BIRČKO MJESTO BROJ 25 RADATOVIĆI, OZALJ",Nema u 2016/2015
91,BJELOVAR,10,BJELOVAR,DJEČJI VRTIĆ,"ULICA ALOJZIJA STEPINCA 36, BJELOVAR",595,301,10,102,114,"10 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
92,BJELOVAR,14,BJELOVAR,DJEČJI VRTIĆ BJELOVAR,"TRG ANTUNA GUSTAVA MATOŠA 8A, BJELOVAR",1105,458,19,168,139,"14 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
93,BJELOVAR,22,BJELOVAR,DOM NA KRIŽEVAČKOJ CESTI,"KRIŽEVAČKA CESTA 3A, BJELOVAR",899,457,31,193,112,"22 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
94,BJELOVAR,20,BJELOVAR,DOM U HRGOVLJANIMA,"MIROSLAVA KRLEŽE 187, BJELOVAR",1207,554,36,249,128,"20 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
95,BJELOVAR,12,BJELOVAR,III OSNOVNA ŠKOLA,"TOME BAKAČA 11D, BJELOVAR",1395,655,33,233,190,"12 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
96,BJELOVAR,11,BJELOVAR,IV OSNOVNA ŠKOLA I,"POLJANA DR. FRANJE TUĐMANA 1, BJELOVAR",1288,618,40,217,193,"11 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
97,BJELOVAR,16,BJELOVAR,IV OSNOVNA ŠKOLA II,"POLJANA DR. FRANJE TUĐMANA 1, BJELOVAR",1140,568,38,193,166,"16 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
98,BJELOVAR,17,BJELOVAR,MEDICINSKA ŠKOLA,"POLJANA DR. FRANJE TUĐMANA 8, BJELOVAR",678,311,11,118,105,"17 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
99,BJELOVAR,13,BJELOVAR,MO AGMATOŠ,"JANKA DRAŠKOVIĆA 1B, BJELOVAR",621,309,16,128,81,"13 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
100,BJELOVAR,19,BJELOVAR,MO BAN J JELAČIĆ,"RADNIČKO NASELJE PRILAZ II KBR. 3, BJELOVAR",1209,486,28,218,105,"19 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
101,BJELOVAR,9,BJELOVAR,MO DR A STARČEVIĆA,"A. STEPINCA 20A, BJELOVAR",1252,585,33,210,175,"9 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
102,BJELOVAR,15,BJELOVAR,MO STJEPAN RADIĆ,"ANDRIJE MOHOROVIČIĆA 59, BJELOVAR",1471,741,49,257,223,"15 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
103,BJELOVAR,6,BJELOVAR,NARODNA KNJIŽNICA PETAR PRERADOVIĆ DJEČJI ODJEL,"ŠETALIŠTE DR. IVŠE LEBOVIĆA 9, BJELOVAR",663,332,18,105,110,"6 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
104,BJELOVAR,18,BJELOVAR,UGOSTITELJSKA ŠKOLA,"POLJANA DR. FRANJE TUĐMANA 10, BJELOVAR",1189,575,40,207,167,"18 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
105,BJELOVAR,3,BJELOVAR,VELEUČILIŠTE U BJELOVARU I,"TRG EUGENA KVATERNIKA 4, BJELOVAR",497,218,17,63,79,"3 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
106,BJELOVAR,5,BJELOVAR,VELEUČILIŠTE U BJELOVARU II,"A. B. ŠIMIĆA 1, BJELOVAR",361,188,17,65,52,"5 BJELOVAR, BJELOVAR",Preostale BM koje kada bi se zbrojile su prevelike
107,RADOBOJ,3,BREGI RADOBOJSKI I KRALJEVEC RADOBOJSKI,PROSTORIJE STARE HIŽE,"BREGI RADOBOJSKI 35, RADOBOJ",392,225,3,77,54,"3 BREGI RADOBOJSKI I KRALJEVEC RADOBOJSKI, RADOBOJ",Nema u 2016/2015
108,BRINJE,2,BRINJE  OŠ BRINJE  I KAT,OŠ BRINJE  I KAT,"BRINJE, BRINJE",350,89,1,67,7,"2 BRINJE  OŠ BRINJE  I KAT, BRINJE",Nema u 2016/2015
109,BRINJE,1,BRINJE  OŠ BRINJE  PRIZEMLJE,OŠ BRINJE  PRIZEMLJE,"BRINJE, BRINJE",809,335,13,225,43,"1 BRINJE  OŠ BRINJE  PRIZEMLJE, BRINJE",Nema u 2016/2015
110,ZADAR,60,BRODARICA,OSNOVNA ŠKOLA ŠIMUNA KOŽIČIĆA BENJE,"ASJE PETRIČIĆ 7, ZADAR",6054,2560,209,891,666,"10 BRODARICA, ZADAR11 BRODARICA, ZADAR12 BRODARICA, ZADAR13 BRODARICA, ZADAR14 BRODARICA, ZADAR",Preostale BM koje kada bi se zbrojile su prevelike
111,MARUŠEVEC,13,BRODAROVEC,KUĆA ŽELJKA IVANČEVIĆA,"BRODAROVEC 14, MARUŠEVEC",165,54,1,21,7,"13 BRODAROVEC, MARUŠEVEC",Nema u 2016/2015
112,DUBROVNIK,1,BRSEČINE MO BRSEČINE,MJESNI ODBOR BRSEČINE,"BRSEČINE BB, DUBROVNIK",84,52,1,33,7,"1 BRSEČINE MO BRSEČINE, DUBROVNIK",Nema u 2016/2015
113,BRTONIGLA - VERTENEGLIO,1,BRTONIGLAVERTENEGLIO,SJEDIŠTE PODRUČNE ŠKOLE U BRTONIGLI,"DUDOVA 24, BRTONIGLA, BRTONIGLA - VERTENEGLIO",790,285,8,61,132,"1 BRTONIGLAVERTENEGLIO, BRTONIGLA  VERTENEGLIO",Nema u 2016/2015
114,BUDINŠČINA,1,BUDINŠČINA,ZGRADA OPĆINE,"BUDINŠČINA 6, BUDINŠČINA",481,197,7,79,46,"1 BUDINŠČINA, BUDINŠČINA",Nema u 2016/2015
115,LIPIK,7,BUJAVICA BIVŠI LAKTOFRIZ,BUJAVICA,"BUJAVICA BB, LIPIK",17,5,0,0,4,"7 BUJAVICA BIVŠI LAKTOFRIZ, LIPIK",Nema u 2016/2015
116,BUJE - BUIE,1,BUJEBUIE,OSNOVNA ŠKOLA MATE BALOTA BUJESCUOLA ELEMENTARE MATE BALOTA BUIE,"ŠKOLSKI BRIJEG BB, BUJE - BUIE",847,326,9,59,156,"1 BUJEBUIE, BUJE  BUIE",Nema u 2016/2015
117,BUJE - BUIE,2,BUJEBUIE,OSNOVNA ŠKOLA MATE BALOTA BUJESCUOLA ELEMENTARE MATE BALOTA BUIE,"ŠKOLSKI BRIJEG BB, BUJE - BUIE",1342,475,15,102,223,"2 BUJEBUIE, BUJE  BUIE",Nema u 2016/2015
