,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
169,DUBROVNIK,28,DUBROVNIK GK MOKOŠICA,DJEČIJI VRTIĆ I,"UZ JADRANSKU CESTU BB,MOKOŠICA, DUBROVNIK",1587,804,92,419,97,"28 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
170,DUBROVNIK,29,DUBROVNIK GK MOKOŠICA,DJEČIJI VRTIĆ II,"UZ JADRANSKU CESTU BB, MOKOŠICA, DUBROVNIK",596,294,29,192,13,"29 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
171,DUBROVNIK,30,DUBROVNIK GK MOKOŠICA,OSNOVNA ŠKOLA I NOVA MOKOŠICA,"BARTOLA KAŠIĆA  20, DUBROVNIK",693,292,26,127,60,"30 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
172,DUBROVNIK,31,DUBROVNIK GK MOKOŠICA,OSNOVNA ŠKOLA II NOVA MOKOŠICA,"BARTOLA KAŠIĆA 20, DUBROVNIK",1046,400,41,172,87,"31 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
173,DUBROVNIK,32,DUBROVNIK GK MOKOŠICA,OSNOVNA ŠKOLA III NOVA MOKOŠICA,"BARTOLA KAŠIĆA 20, DUBROVNIK",1100,477,56,201,104,"32 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
174,DUBROVNIK,33,DUBROVNIK GK MOKOŠICA,OSNOVNA ŠKOLA IV,"BARTOLA KAŠIĆA 20, DUBROVNIK",1169,487,51,201,112,"33 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
175,DUBROVNIK,34,DUBROVNIK GK MOKOŠICA,BARAKAKLUB UMIROVLJENIKA,"NOVA MOKOŠICA, DUBROVNIK",1259,599,73,179,148,"34 DUBROVNIK GK MOKOŠICA, DUBROVNIK",Nema u 2016/2015
176,DUBROVNIK,11,DUBROVNIK GK MONTOVJERNA,OPĆINSKI SUD U DUBROVNIKU ATRIJ ISPRED SUDNICE BROJ 2,"A. STARČEVIĆA 23, DUBROVNIK",1303,582,70,198,143,"11 DUBROVNIK GK MONTOVJERNA, DUBROVNIK",Nema u 2016/2015
177,DUBROVNIK,12,DUBROVNIK GK MONTOVJERNA,OBRTNIČKA ŠKOLA,"IVA VOJNOVIĆA 12, DUBROVNIK",1384,657,74,240,155,"12 DUBROVNIK GK MONTOVJERNA, DUBROVNIK",Nema u 2016/2015
178,DUBROVNIK,13,DUBROVNIK GK MONTOVJERNA,DJEČJI VRTIĆ PALČICA DVORANA A,"I.VOJNOVIĆA 34, DUBROVNIK",846,392,22,149,106,"13 DUBROVNIK GK MONTOVJERNA, DUBROVNIK",Nema u 2016/2015
179,DUBROVNIK,14,DUBROVNIK GK MONTOVJERNA,DJEČJI VRTIĆ PALČICA DVORANA B,"I.VOJNOVIĆA 34, DUBROVNIK",1384,620,61,212,188,"14 DUBROVNIK GK MONTOVJERNA, DUBROVNIK",Nema u 2016/2015
180,DUBROVNIK,15,DUBROVNIK GK MONTOVJERNA,ZAVOD ZA JAVNO ZDRAVSTVO,"OD SV. MIHAJLA 6, DUBROVNIK",865,421,65,169,87,"15 DUBROVNIK GK MONTOVJERNA, DUBROVNIK",Nema u 2016/2015
181,DUBROVNIK,9,DUBROVNIK GK PILE  KONO,OSNOVNA ŠKOLA MARINA DRŽIĆA,"VOLANTINA  6, DUBROVNIK",1358,676,93,249,163,"9 DUBROVNIK GK PILE  KONO, DUBROVNIK",Nema u 2016/2015
182,DUBROVNIK,10,DUBROVNIK GK PILE  KONO,ZAVOD ZA ZAPOŠLJAVANJE,"V. NAZORA  5, DUBROVNIK",998,459,55,168,108,"10 DUBROVNIK GK PILE  KONO, DUBROVNIK",Nema u 2016/2015
183,DUBROVNIK,8,DUBROVNIK GK PILEKONO,POSLIJE DIPLOMSKO SREDIŠTE,"DON FRANA BULIĆA 4, DUBROVNIK",989,481,35,183,140,"8 DUBROVNIK GK PILEKONO, DUBROVNIK",Nema u 2016/2015
184,DUBROVNIK,3,DUBROVNIK GK PLOČE IZA GRADA,GIMNAZIJA I,"FRANA SUPILA 3, DUBROVNIK",803,396,41,144,78,"3 DUBROVNIK GK PLOČE IZA GRADA, DUBROVNIK",Nema u 2016/2015
185,DUBROVNIK,4,DUBROVNIK GK PLOČE IZA GRADA,GIMNAZIJA II,"FRANA SUPILA 3, DUBROVNIK",678,331,44,99,90,"4 DUBROVNIK GK PLOČE IZA GRADA, DUBROVNIK",Nema u 2016/2015
186,DUBROVNIK,5,DUBROVNIK GK PLOČE IZA GRADA,UGOSTITELJSKA ŠKOLA,"ŽUPSKA BROJ 2, DUBROVNIK",534,256,15,88,63,"5 DUBROVNIK GK PLOČE IZA GRADA, DUBROVNIK",Nema u 2016/2015
187,DUBROVNIK,35,DUBROVNIK GKKOMOLAC,GRADSKI KOTAR KOMOLAC,"NA SKALI 2. ( POVIŠE KONZUMA), DUBROVNIK",1484,625,95,282,87,"35 DUBROVNIK GKKOMOLAC, DUBROVNIK",Nema u 2016/2015
188,DUBROVNIK,36,DUBROVNIK MO GROMAČA,MJESNI ODBOR GROMAČA,"GROMAČA BB, DUBROVNIK",127,95,9,65,1,"36 DUBROVNIK MO GROMAČA, DUBROVNIK",Nema u 2016/2015
189,DUBROVNIK,37,DUBROVNIK MO KLIŠEVO,DOM KLIŠEVO,"KLIŠEVO, DUBROVNIK",50,36,1,18,2,"37 DUBROVNIK MO KLIŠEVO, DUBROVNIK",Nema u 2016/2015
190,ZAGREB-JUGOISTOK,287,DUGAVE,I OSNOVNA ŠKOLA DUGAVE,"ŠKOLSKI PRILAZ 7, ZAGREB-JUGOISTOK",8439,4176,291,1013,1115,"38 DUGAVE, ZAGREBJUGOISTOK39 DUGAVE, ZAGREBJUGOISTOK40 DUGAVE, ZAGREBJUGOISTOK41 DUGAVE, ZAGREBJUGOISTOK42 DUGAVE, ZAGREBJUGOISTOK43 DUGAVE, ZAGREBJUGOISTOK44 DUGAVE, ZAGREBJUGOISTOK",Preostale BM koje kada bi se zbrojile su prevelike
191,DUGO SELO,16,DUGO SELO  ISTOK V,OSNOVNA ŠKOLA JOSIPA ZORIĆA,"DUGO SELO, JOSIPA ZORIĆA 86, DUGO SELO",682,300,19,126,40,"16 DUGO SELO  ISTOK V, DUGO SELO",Nema u 2016/2015
192,DUGO SELO,17,DUGO SELO  ISTOK VI,OSNOVNA ŠKOLA JOSIPA ZORIĆA,"DUGO SELO, JOSIPA ZORIĆA 86, DUGO SELO",571,205,28,80,26,"17 DUGO SELO  ISTOK VI, DUGO SELO",Nema u 2016/2015
193,DUGO SELO,10,DUGO SELO  SJEVER III,SREDNJA ŠKOLA DUGO SELO,"DUGO SELO, STJEPANA FERENČAKA 25, DUGO SELO",561,259,20,89,54,"10 DUGO SELO  SJEVER III, DUGO SELO",Nema u 2016/2015
194,DUGO SELO,11,DUGO SELO  SJEVER IV,SREDNJA ŠKOLA DUGO SELO,"DUGO SELO, STJEPANA FERENČAKA 25, DUGO SELO",513,261,44,81,59,"11 DUGO SELO  SJEVER IV, DUGO SELO",Nema u 2016/2015
195,DUGO SELO,4,DUGO SELO  ZAPAD IV,ZGRADA GLAZBENE ŠKOLE,"DUGO SELO, ZAGREBAČKA ULICA 24, DUGO SELO",734,319,30,116,76,"4 DUGO SELO  ZAPAD IV, DUGO SELO",Nema u 2016/2015
196,GVOZD,7,DUGO SELO LASINJSKO,BIVŠA OSNOVNA ŠKOLA,"DUGO SELO LASINJSKO 50, GVOZD",210,20,0,0,15,"7 DUGO SELO LASINJSKO, GVOZD",Nema u 2016/2015
197,PLETERNICA,3,ELVIO PROIZVODNJA DOO BIVŠI TOFRADO ODNOSNO OROPLET,PLETERNICA,"VLADIMIRA NAZORA 9, PLETERNICA",515,226,57,101,33,"3 ELVIO PROIZVODNJA DOO BIVŠI TOFRADO ODNOSNO OROPLET, PLETERNICA",Nema u 2016/2015
198,ZLATAR BISTRICA,6,ERVENIK,PROSTORIJE KUĆE POKOJNE GABRIJELE HABAN BASRAN VLASNIK MIROSLAV HABAN,"ERVENIK 40, ZLATAR BISTRICA",153,48,0,17,21,"6 ERVENIK, ZLATAR BISTRICA",Nema u 2016/2015
199,BRTONIGLA - VERTENEGLIO,3,FIORINIFIORINI,DRUŠTVENI DOM FIORINI,"FIORINI BB, BRTONIGLA - VERTENEGLIO",368,129,5,9,68,"3 FIORINIFIORINI, BRTONIGLA  VERTENEGLIO",Nema u 2016/2015
200,VODNJAN - DIGNANO,6,GALIŽANA  BIRAČKO MJESTO BR 6,ZGRADA MJESNE ZAJEDNICE GALIŽANA,"MICHELE DELLA VEDOVA BR. 67, GALIŽANA, VODNJAN - DIGNANO",1254,421,20,73,191,"6 GALIŽANA  BIRAČKO MJESTO BR 6, VODNJAN  DIGNANO",Nema u 2016/2015
201,"ZAGREB-CENTAR, ZAPAD",188,GORNJA KUSTOŠIJA,PROSTORIJE MJESNOG ODBORA,"KUSTOŠIJANSKA ULICA 276, ZAGREB-CENTAR, ZAPAD",1515,679,69,188,134,"188 GORNJA KUSTOŠIJA, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
202,"ZAGREB-CENTAR, ZAPAD",373,GORNJA KUSTOŠIJA,ČITAONICA VLADIMIR NAZOR,"TRG HRVATSKIH OBRAMBENIH SNAGA 8, ZAGREB-CENTAR, ZAPAD",3050,1358,122,381,301,"186 GORNJA KUSTOŠIJA, ZAGREBCENTAR ZAPAD187 GORNJA KUSTOŠIJA, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
203,VELIKA TRNOVITICA,4,GORNJA PLOŠČICA,MJESNI DOM,"GORNJA PLOŠČICA 18 A, VELIKA TRNOVITICA",29,21,0,10,2,"4 GORNJA PLOŠČICA, VELIKA TRNOVITICA",Nema u 2016/2015
204,"ZAGREB-CENTAR, ZAPAD",65,GORNJI GRAD,STARA GRADSKA VIJEĆNICA,"ULICA SV. ĆIRILA I METODA 5, ZAGREB-CENTAR, ZAPAD",2250,1179,73,296,235,"32 GORNJI GRAD, ZAGREBCENTAR ZAPAD33 GORNJI GRAD, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
205,DUBRAVA,16,GORNJI I DONJI MARINKOVAC I PEHARDOVAC,DRUŠTVENI DOM U GORNJEM MARINKOVCU,"GORNJI MARINKOVAC, DUBRAVA",183,103,2,56,28,"16 GORNJI I DONJI MARINKOVAC I PEHARDOVAC, DUBRAVA",Nema u 2016/2015
206,DUBRAVA,14,GORNJI I DONJI VUKŠINAC,DRUŠTVENI DOM,"DONJI VUKŠINAC, DUBRAVA",138,58,0,28,16,"14 GORNJI I DONJI VUKŠINAC, DUBRAVA",Nema u 2016/2015
207,DONJI LAPAC,4,GORNJI LAPAC,ZGRADA LOVAČKOG DRUŠTVA OZEBLIN,"GORNJI LAPAC, DONJI LAPAC",203,58,0,0,52,"4 GORNJI LAPAC, DONJI LAPAC",Nema u 2016/2015
208,GOSPIĆ,29,GOSPIĆ,KUĆA MARIA JOVANOVIĆA,"MALA PLANA 35 A, GOSPIĆ",70,34,0,17,3,"29 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
209,GOSPIĆ,20,GOSPIĆ,MJESNI ODBOR MEDAK,"MEDAK, GOSPIĆ",109,20,1,0,15,"20 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
210,GOSPIĆ,19,GOSPIĆ,MJESNI ODBOR MOGORIĆ,"MOGORIĆ, GOSPIĆ",93,13,0,0,4,"19 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
211,GOSPIĆ,11,GOSPIĆ,OBITELJSKA KUĆA MILANA GENDE RIBNIK,"RIBNIK 31/1, GOSPIĆ",80,40,0,29,0,"11 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
212,GOSPIĆ,3,GOSPIĆ,ZGRADA DOMA ZDRAVLJA U GOSPIĆU,"ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ, GOSPIĆ",1350,575,36,264,78,"3 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
213,GOSPIĆ,18,GOSPIĆ,ZGRADA DRUŠTVENOG DOMA  VREBAC,"VREBAC, GOSPIĆ",93,11,0,1,8,"18 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
214,GOSPIĆ,21,GOSPIĆ,ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN,"SMILJAN, GOSPIĆ",505,250,3,140,7,"21 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
215,GOSPIĆ,26,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE ALEKSINICA,"ALEKSINICA, GOSPIĆ",123,58,0,37,3,"26 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
216,GOSPIĆ,13,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE BRUŠANE,"BRUŠANE, GOSPIĆ",134,68,2,39,11,"13 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
217,GOSPIĆ,22,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE DEBELO BRDO,"DEBELO BRDO, GOSPIĆ",63,34,0,19,0,"22 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
218,GOSPIĆ,27,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE KALINOVAČA,"KALINOVAČA, GOSPIĆ",108,59,1,30,1,"27 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
219,GOSPIĆ,25,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE KLANAC,"KLANAC, GOSPIĆ",197,102,1,63,2,"25 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
220,GOSPIĆ,15,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE MUŠALUK,"MUŠALUK, GOSPIĆ",169,70,6,41,5,"15 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
221,GOSPIĆ,28,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE NOVOSELIJA,"NOVOSELIJA, GOSPIĆ",200,102,1,44,5,"28 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
222,GOSPIĆ,24,GOSPIĆ,ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK,"VELIKI ŽITNIK, GOSPIĆ",49,21,0,12,1,"24 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
223,GOSPIĆ,5,GOSPIĆ,ZGRADA USLUGE DOO U GOSPIĆU,"BUŽIMSKA ULICA 10, GOSPIĆ",1498,797,38,374,102,"5 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
224,GOSPIĆ,14,GOSPIĆ,ČITAONICA BUDAK,"BUDAK, GOSPIĆ",115,61,0,40,4,"14 GOSPIĆ, GOSPIĆ",Preostale BM koje kada bi se zbrojile su prevelike
225,GRADIŠTE,6,GRADIŠTE,OSNOVNA ŠKOLA GRADIŠTE,"KOLODVORSKA UL.27, GRADIŠTE",2336,778,25,356,123,"1 GRADIŠTE, GRADIŠTE2 GRADIŠTE, GRADIŠTE3 GRADIŠTE, GRADIŠTE",Preostale BM koje kada bi se zbrojile su prevelike
226,LIPIK,3,GRADSKA UPRAVA U LIPIKU,LIPIK,"MARIJE TEREZIJE 27, LIPIK",658,280,14,127,65,"3 GRADSKA UPRAVA U LIPIKU, LIPIK",Nema u 2016/2015
227,GROŽNJAN - GRISIGNANA,1,GROŽNJANGRISIGNANA,SJEDIŠTE OPĆINE GROŽNJAN,"UMBERTA GORJANA 3, GROŽNJAN, GROŽNJAN - GRISIGNANA",358,118,4,7,71,"1 GROŽNJANGRISIGNANA, GROŽNJAN  GRISIGNANA",Nema u 2016/2015
228,GUNJA,3,GUNJA,CENTAR ZA JAVNE INICIJATIVE GUNJA,"VLADIMIRA NAZORA 317 B, GUNJA",700,197,8,87,61,"3 GUNJA, GUNJA",Preostale BM koje kada bi se zbrojile su prevelike
229,GUNJA,1,GUNJA,DRUŠTVENI DOM I KNJIŽNICA,"VLADIMIRA NAZORA 111, GUNJA",652,229,4,144,24,"1 GUNJA, GUNJA",Preostale BM koje kada bi se zbrojile su prevelike
230,GUNJA,4,GUNJA,OŠ ANTUN I STJEPAN RADIĆ,"MIROSLAVA KRLEŽE 55, GUNJA",746,170,2,73,52,"4 GUNJA, GUNJA",Preostale BM koje kada bi se zbrojile su prevelike
231,DUBRAVA,25,HABJANOVAC,DRUŠTVENI DOM,"HABJANOVAC, DUBRAVA",128,57,1,31,3,"25 HABJANOVAC, DUBRAVA",Nema u 2016/2015
232,"ZAGREB-CENTAR, ZAPAD",1176,HORVATI  SREDNJACI,OŠ JOSIPA RAČIĆA,"SREDNJACI 30, ZAGREB-CENTAR, ZAPAD",9336,4772,331,1085,1269,"165 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD166 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD167 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD168 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD169 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD170 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD171 HORVATI  SREDNJACI, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
233,ZAGREB-JUŽNI DIO,5,HRELIĆ,I OSNOVNA ŠKOLA DUGAVE,"ŠKOLSKI PRILAZ 7, ZAGREB-JUŽNI DIO",2223,1084,82,302,247,"2 HRELIĆ, ZAGREBJUŽNI DIO3 HRELIĆ, ZAGREBJUŽNI DIO",Preostale BM koje kada bi se zbrojile su prevelike
234,DUBROVNIK,52,HRVATSKE ŠUME DOO,ŠUMARIJA DUBROVNIK,"BOSANKA 49A, BOSANKA, DUBROVNIK",124,62,12,21,5,"52 HRVATSKE ŠUME DOO, DUBROVNIK",Nema u 2016/2015
235,IVANEC,7,IVANEC7,KUĆA EVE DOŠEN,"ULICA ŽRTAVA HRVAT. DOMOVIN. RATOVA 18, IVANEC",534,221,5,49,81,"7 IVANEC7, IVANEC",Nema u 2016/2015
236,IVANKOVO,4,IVANKOVO,PRIVATNA KUĆA VLADE SALOPEKA,"GORJANI 272, IVANKOVO",1055,486,21,242,49,"4 IVANKOVO, IVANKOVO",Preostale BM koje kada bi se zbrojile su prevelike
237,IVANKOVO,3,IVANKOVO,SPORTSKA DVORANA,"BOŠNJACI 10, IVANKOVO",2593,1181,65,576,99,"1 IVANKOVO, IVANKOVO2 IVANKOVO, IVANKOVO",Preostale BM koje kada bi se zbrojile su prevelike
238,LIPIK,13,JAGMA BIVŠI LAKTOFRIZ,JAGMA,"JAGMA 52 A, LIPIK",23,7,1,3,3,"13 JAGMA BIVŠI LAKTOFRIZ, LIPIK",Nema u 2016/2015
239,"ZAGREB-CENTAR, ZAPAD",123,JANKO MATKO,PROSTORIJE MJESNOG ODBORA,"ULICA FRANJE HORVATA KIŠA 12, ZAGREB-CENTAR, ZAPAD",1146,562,38,118,106,"123 JANKO MATKO, ZAGREBCENTAR ZAPAD",Nema u 2016/2015
240,ZADAR,49,JAZINE I,MJESNI ODBOR JAZINE I,"KRALJA S. DRŽISLAVA 10, ZADAR",1924,835,61,279,244,"24 JAZINE I, ZADAR25 JAZINE I, ZADAR",Preostale BM koje kada bi se zbrojile su prevelike
241,"ZAGREB-CENTAR, ZAPAD",379,JELENOVAC,PODRUČNI URED ČRNOMEREC,"TRG FRANCUSKE REPUBLIKE 15, ZAGREB-CENTAR, ZAPAD",2457,1253,89,406,222,"189 JELENOVAC, ZAGREBCENTAR ZAPAD190 JELENOVAC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
242,IVANEC,14,JEROVEC DONJI,DRUŠTVENI DOM JEROVEC DONJI,"JEROVEC 80 C, IVANEC",356,177,4,78,35,"14 JEROVEC DONJI, IVANEC",Nema u 2016/2015
243,IVANEC,15,JEROVEC GORNJI,DRUŠTVENI DOM JEROVEC GORNJI,"JEROVEC 205, IVANEC",318,162,6,67,36,"15 JEROVEC GORNJI, IVANEC",Nema u 2016/2015
244,UMAG - UMAGO,2,JURICANIGIURIZZANI,PODRUČNA ŠKOLA JURICANI,"JURICANI 2, UMAG - UMAGO",778,269,20,29,128,"2 JURICANIGIURIZZANI, UMAG  UMAGO",Nema u 2016/2015
245,KASTAV,1,KASTAV,PROSTOR GRADSKE VIJEĆNICE SUTEREN,"ULICA ZAKONA KASTAFSKEGA 3, KASTAV",874,350,30,68,150,"1 KASTAV, KASTAV",Preostale BM koje kada bi se zbrojile su prevelike
246,KASTAV,5,KASTAV,PROSTORIJA DRUŠTVENOG DOMA BRAĆE MILIH,"RUBEŠI 65, KASTAV",2536,1040,65,311,394,"5 KASTAV, KASTAV",Preostale BM koje kada bi se zbrojile su prevelike
247,KASTAV,2,KASTAV,PROSTORIJA DRUŠTVENOG DOMA BRNČIĆI,"BRNČIĆI 66, KASTAV",1078,476,33,125,176,"2 KASTAV, KASTAV",Preostale BM koje kada bi se zbrojile su prevelike
248,KASTAV,3,KASTAV,PROSTORIJA U PRIZEMLJU ZGRADE MO REŠETARI,"ŠTIVAR 13, KASTAV",2175,855,66,240,302,"3 KASTAV, KASTAV",Preostale BM koje kada bi se zbrojile su prevelike
249,KASTAV,6,KASTAV,PROSTORIJA ŠKOLSKE SPORTSKE DVORANE,"STRAŽNICA 2, KASTAV",843,420,26,93,167,"6 KASTAV, KASTAV",Preostale BM koje kada bi se zbrojile su prevelike
250,VELIKA LUDINA,12,KATOLIČKO SELIŠĆE,DRUŠTVENI DOM KATOLIČKO SELIŠĆE,"MOSLAVAČKIH VINOGRADA 64, VELIKA LUDINA",141,60,1,21,13,"12 KATOLIČKO SELIŠĆE, VELIKA LUDINA",Nema u 2016/2015
251,BUJE - BUIE,3,KAŠTELCASTELVENERE,OSNOVNA ŠKOLA KAŠTELSCUOLA ELEMENTARE CASTELVENERE,"KAŠTEL BB, BUJE - BUIE",992,343,17,73,177,"3 KAŠTELCASTELVENERE, BUJE  BUIE",Nema u 2016/2015
252,SVETA NEDELJA,4,KERESTINEC KALINOVICA,PODRUČNA ŠKOLA KERESTINEC,"KERESTINEC, MATE LOVRAKA 3, SVETA NEDELJA",1323,642,33,169,101,"4 KERESTINEC KALINOVICA, SVETA NEDELJA",Nema u 2016/2015
253,SVETA NEDELJA,5,KERESTINECKALINOVICAŽITARKA,PODRUČNA ŠKOLA KERESTINEC,"KERESTINEC,MATE LOVRAKA 3, SVETA NEDELJA",540,223,9,61,30,"5 KERESTINECKALINOVICAŽITARKA, SVETA NEDELJA",Nema u 2016/2015
254,KLOŠTAR IVANIĆ,11,KLOŠTAR III,OSNOVNA ŠKOLA KLOŠTAR IVANIĆ,"ŠKOLSKA 20, KLOŠTAR IVANIĆ, KLOŠTAR IVANIĆ",873,344,29,133,81,"11 KLOŠTAR III, KLOŠTAR IVANIĆ",Nema u 2016/2015
255,KLOŠTAR IVANIĆ,12,KLOŠTAR IV,OSNOVNA ŠKOLA KLOŠTAR IVANIĆ,"ŠKOLSKA 20, KLOŠTAR IVANIĆ, KLOŠTAR IVANIĆ",457,161,11,68,38,"12 KLOŠTAR IV, KLOŠTAR IVANIĆ",Nema u 2016/2015
256,"ZAGREB-CENTAR, ZAPAD",875,KNEŽIJA,OŠ MATIJE GUPCA,"ULICA DAVORINA BAZJANCA 2, ZAGREB-CENTAR, ZAPAD",6689,3384,284,786,828,"173 KNEŽIJA, ZAGREBCENTAR ZAPAD174 KNEŽIJA, ZAGREBCENTAR ZAPAD175 KNEŽIJA, ZAGREBCENTAR ZAPAD176 KNEŽIJA, ZAGREBCENTAR ZAPAD177 KNEŽIJA, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
257,VELIKA,2,KNJIŽNICA VELIKA,VELIKA,"TRG BANA J. JELAČIĆA 36, VELIKA",1109,455,27,205,83,"2 KNJIŽNICA VELIKA, VELIKA",Nema u 2016/2015
258,DUBROVNIK,38,KOLOČEP MO KOLOČEP,OSNOVNA ŠKOLA KOLOČEP,"DONJE ČELO BB, DUBROVNIK",243,122,11,51,24,"38 KOLOČEP MO KOLOČEP, DUBROVNIK",Nema u 2016/2015
259,KOPRIVNICA,20,KOPRIVNICA,GIMNAZIJA FRAN GALOVIĆ 1 KOPRIVNICA,"DR. ŽELJKA SELINGERA 3A, KOPRIVNICA",926,476,23,124,186,"20 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
260,KOPRIVNICA,21,KOPRIVNICA,GIMNAZIJA FRAN GALOVIĆ 2 KOPRIVNICA,"ULICA DR. ŽELJKA SELINGERA 3A, KOPRIVNICA",429,205,13,50,77,"21 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
261,KOPRIVNICA,31,KOPRIVNICA,GKP KOMUNALAC 1 KOPRIVNICA,"VARAŽDINSKA CESTA 18, KOPRIVNICA",801,383,30,79,150,"31 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
262,KOPRIVNICA,24,KOPRIVNICA,OSNOVNA ŠKOLA  ANTUN NEMČIĆ GOSTOVINSKI 1 KOPRIVNICA,"ŠKOLSKA ULICA 5, KOPRIVNICA",587,287,16,83,109,"24 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
263,KOPRIVNICA,16,KOPRIVNICA,OSNOVNA ŠKOLA BRAĆA RADIĆ 2 KOPRIVNICA,"MIKLINOVEC 6A, KOPRIVNICA",1152,645,49,165,232,"16 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
264,KOPRIVNICA,22,KOPRIVNICA,VETERINARSKA STANICA  KOPRIVNICA,"ULICA MIHOVILA PAVLEKA MIŠKINE 66, KOPRIVNICA",506,241,15,62,104,"22 KOPRIVNICA, KOPRIVNICA",Preostale BM koje kada bi se zbrojile su prevelike
265,ĐULOVAC,10,KORENIČANI,DOM U KORENIČANIMA,"KORENIČANI BB, ĐULOVAC",170,92,0,39,12,"10 KORENIČANI, ĐULOVAC",Nema u 2016/2015
266,KOSTRENA,1,KOSTRENA,NARODNA ČITAONICA KOSTRENA,"SVETA LUCIJA 14, KOSTRENA",1259,583,53,167,185,"1 KOSTRENA, KOSTRENA",Nema u 2016/2015
267,KOSTRENA,2,KOSTRENA,SPORTSKA DVORANA KOSTRENA,"ŽUKNICA 1B, KOSTRENA",1336,581,48,203,150,"2 KOSTRENA, KOSTRENA",Nema u 2016/2015
268,KOSTRENA,3,KOSTRENA,STARA ŠKOLA SV BARBARA,"TRG SVETE BARBARE 1, KOSTRENA",1353,569,30,165,203,"3 KOSTRENA, KOSTRENA",Nema u 2016/2015
269,DUGO SELO,19,KOZINŠČAK I,OBITELJSKA KUĆA BATARILO,"KOZINŠČAK, KOZINSKA 40, DUGO SELO",600,246,20,109,41,"19 KOZINŠČAK I, DUGO SELO",Nema u 2016/2015
