,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM,Uzrok
194,ZAGREBCENTAR ZAPAD,164,STARA TRESNJEVKA,DRZAVNA UPRAVA ZA ZASTITU I SPASAVANJE,NEHAJSKA ULICA 5 PRIZEMLJE ZAGREBCENTAR ZAPAD,1346,879,152,,,236,353,164 STARA TRESNJEVKA ZAGREBCENTAR ZAPAD,Preostale BM koje kada bi se zbrojile su prevelike
195,ZAGREBCENTAR ZAPAD,501,STARA TRESNJEVKA,IX GIMNAZIJA,DOBOJSKA ULICA 12 ZAGREBCENTAR ZAPAD,2875,1914,367,,,437,795,166 STARA TRESNJEVKA ZAGREBCENTAR ZAPAD167 STARA TRESNJEVKA ZAGREBCENTAR ZAPAD168 STARA TRESNJEVKA ZAGREBCENTAR ZAPAD,Preostale BM koje kada bi se zbrojile su prevelike
196,ZAGREBJUZNI DIO,258,STENJEVECJUG,PROSTORIJE MJESNOG ODBORA,SAMOBORSKA CESTA 63 ZAGREBJUZNI DIO,4393,2875,601,,,844,884,85 STENJEVECJUG ZAGREBJUZNI DIO86 STENJEVECJUG ZAGREBJUZNI DIO87 STENJEVECJUG ZAGREBJUZNI DIO,Preostale BM koje kada bi se zbrojile su prevelike
197,ZAGREBJUZNI DIO,88,STENJEVECJUG,UTENZILIJA,SAMOBORSKA CESTA 129 ZAGREBJUZNI DIO,966,645,143,,,156,247,88 STENJEVECJUG ZAGREBJUZNI DIO,Preostale BM koje kada bi se zbrojile su prevelike
198,VARAZDIN,28,VARAZDIN,BIRALISTE 1 PROSTORIJE IV OSNOVNE SKOLE,MARELJKOVICA 36 VARAZDIN,963,613,63,,,137,283,28 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
199,VARAZDIN,22,VARAZDIN,BIRALISTE 1 PROSTORIJE KIRURGIJE CEKAONICA KOD SPECIJALISTICKIH AMBULANTI SJEVERNI ULAZ,IVANA MESTROVICA 1 VARAZDIN,1137,758,132,,,127,351,22 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
200,VARAZDIN,36,VARAZDIN,BIRALISTE 1 PROSTORIJE VI MJESNOG ODBORA BANFICA,DRAVSKA 7B VARAZDIN,1381,961,130,,,149,508,36 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
201,VARAZDIN,23,VARAZDIN,BIRALISTE 2 PROSTORIJE KIRURGIJE DVORANA ZA SASTANKE U PODRUMU SJEVERNI ULAZ,IVANA MESTROVICA 1 VARAZDIN,1042,708,85,,,100,359,23 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
202,VARAZDIN,37,VARAZDIN,BIRALISTE 2 PROSTORIJE VI MJESNOG ODBORA BANFICA,DRAVSKA 7B VARAZDIN,1103,713,74,,,128,384,37 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
203,VARAZDIN,25,VARAZDIN,BIRALISTE 2 PROSTORIJE VI OSNOVNE SKOLE,DIMITRIJA DEMETRA 13 VARAZDIN,1105,760,80,,,112,391,25 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
204,VARAZDIN,26,VARAZDIN,BIRALISTE 3 PROSTORIJE VI OSNOVNE SKOLE,DIMITRIJA DEMETRA 13 VARAZDIN,1117,797,118,,,146,350,26 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
205,VARAZDIN,33,VARAZDIN,PROSTORIJE BIVSEG VI MJESNOG ODBORA BANFICA,NIKOLE TESLE 20 VARAZDIN,587,407,39,,,92,203,33 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
206,VARAZDIN,27,VARAZDIN,PROSTORIJE DOMA UMIROVLJENIKA,ZAVOJNA 6 VARAZDIN,844,519,69,,,92,230,27 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
207,VARAZDIN,9,VARAZDIN,PROSTORIJE I OSNOVNE SKOLE,KRALJA PKRESIMIRA IV 10 VARAZDIN,440,308,25,,,45,174,9 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
208,VARAZDIN,17,VARAZDIN,PROSTORIJE KUCNOG SAVJETA,BRACE RADIC 20 VARAZDIN,801,531,74,,,102,258,17 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
209,VARAZDIN,4,VARAZDIN,PROSTORIJE UREDA DRZAVNE UPRAVE U VARAZDINSKOJ ZUPANIJI VODOTORANJ,STANKA VRAZA 4 VARAZDIN,556,349,35,,,61,164,4 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
210,VARAZDIN,18,VARAZDIN,PROSTORIJE ZDRAVSTVENE AMBULANTE,MALI PLAC 1A VARAZDIN,681,456,68,,,74,207,18 VARAZDIN VARAZDIN,Preostale BM koje kada bi se zbrojile su prevelike
211,VINKOVCI,13,VINKOVCI,POSLOVNI PROSTORVINKOVCI,DUGA ULICA 67 VINKOVCI,970,606,107,,,238,182,13 VINKOVCI VINKOVCI,Preostale BM koje kada bi se zbrojile su prevelike
212,VINKOVCI,24,VINKOVCI,VINKOVCI DOM ZA STARIJE I NEMOCNE OSOBE,NIKOLE TESLE 43B VINKOVCI,718,448,78,,,176,142,24 VINKOVCI VINKOVCI,Preostale BM koje kada bi se zbrojile su prevelike
213,VUKOVAR,39,VUKOVAR,OSNOVNA SKOLA NIKOLE ANDRICA,VOCARSKA BR 1 VUKOVAR,1679,1031,60,,,497,307,12 VUKOVAR VUKOVAR13 VUKOVAR VUKOVAR14 VUKOVAR VUKOVAR,Preostale BM koje kada bi se zbrojile su prevelike
