,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
12,ANDRIJASEVCI,2,ANDRIJASEVCI,OSNOVNA SKOLA IVANA BRLIC MAZURANIC,SKOLSKA 1 ANDRIJASEVCI,647,348,32,,,175,85,2 ANDRIJASEVCI ANDRIJASEVCI
13,ANDRIJASEVCI,3,ANDRIJASEVCI,OSNOVNA SKOLA IVANA BRLIC MAZURANIC,SKOLSKA 1 ANDRIJASEVCI,665,353,23,,,204,73,3 ANDRIJASEVCI ANDRIJASEVCI
14,ANDRIJASEVCI,4,ANDRIJASEVCI,OSNOVNA SKOLA IVANA BRLIC MAZURANIC,SKOLSKA 1 ANDRIJASEVCI,988,520,34,,,254,126,4 ANDRIJASEVCI ANDRIJASEVCI
15,KOSKA,9,ANDRIJEVAC,DRUSTVENI DOM,BRACE RADICA 2 KOSKA,96,46,1,,,17,14,9 ANDRIJEVAC KOSKA
16,DUGO SELO,18,ANDRILOVEC,VATROGASNI DOM ANDRILOVEC,ANDRILOVEC ANDRILOVECKA 83 DUGO SELO,255,130,8,,,16,54,25 ANDRILOVEC DUGO SELO
17,ZAGREBCENTAR ZAPAD,130,ANTUN MIHANOVIC,OS JULIJA KLOVICA,NOVA CESTA 133 ZAGREBCENTAR ZAPAD,1308,702,75,,,198,313,128 ANTUN MIHANOVIC ZAGREBCENTAR ZAPAD129 ANTUN MIHANOVIC ZAGREBCENTAR ZAPAD
18,ANTUNOVAC,1,ANTUNOVAC,HRVATSKI DOM,BRACE RADICA 4 ANTUNOVAC,1036,643,39,,,375,141,1 ANTUNOVAC ANTUNOVAC
19,ANTUNOVAC,2,ANTUNOVAC,OSNOVNA SKOLA ANTUNOVAC,SKOLSKA ULICA 15 ANTUNOVAC,821,548,28,,,302,139,2 ANTUNOVAC ANTUNOVAC
20,LUDBREG,6,APATIJA,DRUSTVENI DOM,APATIJA 21A LUDBREG,200,118,8,,,61,31,6 APATIJA LUDBREG
21,KRIZEVCI,16,APATOVEC,PODRUCNA SKOLA APATOVEC,APATOVEC KRIZEVCI,289,73,2,,,34,26,16 APATOVEC KRIZEVCI
22,NIJEMCI,5,APSEVCI,OSNOVNA SKOLA LIPOVACPODRUCNA SKOLA APSEVCI,KRALJA TOMISLAVA 58 NIJEMCI,246,104,7,,,75,5,5 APSEVCI NIJEMCI
23,ZADAR,1,ARBANASI,MJESNI ODBOR ARBANASI,TRG GOSPE LORETSKE 1 ZADAR,906,440,44,,,214,114,1 ARBANASI ZADAR
24,ZADAR,2,ARBANASI,MJESNI ODBOR ARBANASI,TRG GOSPE LORETSKE 1 ZADAR,1037,544,40,,,283,156,2 ARBANASI ZADAR
25,POZEGA,1,ARSLANOVCI I SPORTSKA DVORANA GRABRIK,POZEGA,ANTUNA KANIZLICA 14A POZEGA,525,293,47,,,105,87,1 ARSLANOVCI I SPORTSKA DVORANA GRABRIK POZEGA
26,POZEGA,2,ARSLANOVCI II PRIVATNA KUCA ROKIC GORANA,POZEGA,ARSLANOVCI 11 POZEGA,766,443,44,,,200,134,2 ARSLANOVCI II PRIVATNA KUCA ROKIC GORANA POZEGA
27,POZEGA,4,ARSLANOVCI IV TRGOVINA INLES,POZEGA,DUBROVACKA 115 POZEGA,610,376,45,,,188,97,4 ARSLANOVCI IV TRGOVINA INLES POZEGA
28,CISTA PROVO,1,ARZANO,OSNOVNA SKOLA,ARZANO CISTA PROVO,372,212,11,,,182,3,1 ARZANO CISTA PROVO
29,ZAGREBCENTAR ZAPAD,32,AUGUST CESAREC,PROSTORIJE MJESNOG ODBORA,TKALCICEVA ULICA 33 DVORANA I KAT ZAGREBCENTAR ZAPAD,1441,789,71,,,322,262,31 AUGUST CESAREC ZAGREBCENTAR ZAPAD
30,ZAGREBCENTAR ZAPAD,3,AUGUST SENOA,PROSTORIJE MJESNOG ODBORA,ULICA PAVLA HATZA 8 ZAGREBCENTAR ZAPAD,1200,692,75,,,245,267,3 AUGUST SENOA ZAGREBCENTAR ZAPAD
31,ZAGREBCENTAR ZAPAD,4,AUGUST SENOA,PROSTORIJE MJESNOG ODBORA,ULICA PAVLA HATZA 8 ZAGREBCENTAR ZAPAD,1282,755,71,,,243,314,4 AUGUST SENOA ZAGREBCENTAR ZAPAD
32,POKUPSKO,9,AUGUSTANOVEC,U SJENICI,AUGUSTANOVEC BB POKUPSKO,109,66,3,,,42,16,9 AUGUSTANOVEC POKUPSKO
33,BABINA GREDA,1,BABINA GREDA,CITAONICA NOVA SALA,KRALJA TOMISLAVA BB BABINA GREDA,698,293,15,,,119,120,1 BABINA GREDA BABINA GREDA
34,BABINA GREDA,2,BABINA GREDA,CITAONICA CEVATOVO,BANA JJELACICA BB BABINA GREDA,670,303,23,,,126,106,2 BABINA GREDA BABINA GREDA
35,BABINA GREDA,3,BABINA GREDA,CITAONICA DONJA MALA,VLADIMIRA NAZORA 42 BABINA GREDA,938,382,27,,,170,138,3 BABINA GREDA BABINA GREDA
36,BABINA GREDA,4,BABINA GREDA,CITAONICA BERAVA,BRACE RADICA 33 BABINA GREDA,524,223,11,,,110,62,4 BABINA GREDA BABINA GREDA
37,BABINA GREDA,5,BABINA GREDA,CITAONICA JELAS,MIJATA STOJANOVICA 116 BABINA GREDA,290,124,8,,,42,52,5 BABINA GREDA BABINA GREDA
38,IVANSKA,10,BABINAC,DRUSTVENI DOM,BABINAC 50 IVANSKA,108,47,3,,,10,18,10 BABINAC IVANSKA
39,VELIKA PISANICA,4,BABINAC,MJESNI DOM,BABINAC 34 VELIKA PISANICA,208,81,7,,,29,35,4 BABINAC VELIKA PISANICA
40,CESTICA,7,BABINEC,PROSTORIJE VATROGASNOG DOMA DVDA BABINEC,SKOLSKA ULICA CESTICA,688,323,12,,,30,218,7 BABINEC CESTICA
41,MLJET,4,BABINO POLJEZABREZJE,DOM KULTURE ZABREZJE U BABINOM POLJU,BABINO POLJE ZABREZJE BB MLJET,156,103,12,,,40,26,4 BABINO POLJEZABREZJE MLJET
42,MLJET,5,BABINO POLJEZADUBLJE,ZGRADA STARA OPCINA U BABINOM POLJU,BABINO POLJEZADUBLJE BB MLJET,140,82,7,,,17,44,5 BABINO POLJEZADUBLJE MLJET
43,GRADINA,3,BACEVAC,PODRUCNA SKOLA BACEVAC,BACEVAC GRADINA,326,161,9,,,93,34,3 BACEVAC GRADINA
44,HRVATSKA DUBICA,3,BACIN,HRVATSKI DOM BACIN,BACIN 88 HRVATSKA DUBICA,185,103,15,,,74,6,3 BACIN HRVATSKA DUBICA
45,CERNIK,4,BACIN DOL,DRUSTVENI DOM BACIN DOL,BACIN DOL CERNIK,326,143,69,,,38,19,4 BACIN DOL CERNIK
46,PLOCE,12,BACINA,DOM KULTURE U BACINI,BACINA PLOCE,482,308,42,,,82,173,12 BACINA PLOCE
47,VELIKA PISANICA,7,BACKOVICA,MJESNI DOM,BACKOVICA 60 VELIKA PISANICA,36,17,2,,,1,10,7 BACKOVICA VELIKA PISANICA
48,VISNJAN VISIGNANO,6,BACVA,UREDSKI KONTEJNER ISPRED CRKVE,BACVA VISNJAN VISIGNANO,190,100,2,,,11,16,6 BACVA VISNJAN VISIGNANO
49,POREC PARENZO,1,BADERNA MOMPADERNO,ZGRADA SKOLE,BADERNA POREC PARENZO,488,229,33,,,29,30,1 BADERNA MOMPADERNO POREC PARENZO
50,DUBRAVA,9,BADINEC,DRUSTVENI DOM,BADINEC DUBRAVA,119,60,5,,,23,15,9 BADINEC DUBRAVA
51,ZAZABLJE,4,BADZULA,KUCA DRAGANA CRNCEVICA BEKLIJEBADZULA,BADZULA ZAZABLJE,56,37,12,,,22,1,4 BADZULA ZAZABLJE
52,KRK,9,BAJCICI,MJESNI DOM BAJCICI,BAJCICI KRK,411,214,22,,,49,44,9 BAJCICI KRK
53,BAKAR,1,BAKAR,PROSTORIJE VIJECNICE GRADA BAKAR MERGED HETERO,PRIMORJE 392 BAKAR,1218,591,36,,,219,231,BAKARBAKAR MERGED HETERO
54,KRALJEVICA,3,BAKARAC,PROSTORIJE DRUSTVENOG DOMA,BAKARAC 8 KRALJEVICA,278,157,13,,,31,67,3 BAKARAC KRALJEVICA
55,SLATINA,1,BAKIC,PODRUCNA OSNOVNA SKOLA BAKIC,BAKIC SLATINA,447,174,1,,,112,39,1 BAKIC SLATINA
56,KOPRIVNICA,5,BAKOVCICA,PODRUCNA SKOLA BAKOVCICA,SKOLSKA 35 KOPRIVNICA,264,130,8,,,45,59,5 BAKOVCICA KOPRIVNICA
57,BALE VALLE,1,BALE,PODRUCNA SKOLA JURJA DOBRILE,DOMENICO CERNECCA 3 BALE BALE VALLE,809,401,25,,,51,89,1 BALE BALE VALLE
58,ZAGREBCENTAR ZAPAD,186,BAN KEGLEVIC,PROSTORIJE MJESNOG ODBORA,TRG FRANCUSKE REPUBLIKE 11 ZAGREBCENTAR ZAPAD,1187,703,65,,,192,297,179 BAN KEGLEVIC ZAGREBCENTAR ZAPAD
59,ZAGREBCENTAR ZAPAD,187,BAN KEGLEVIC,PROSTORIJE MJESNOG ODBORA,BLEIWEISOVA ULICA 24 ZAGREBCENTAR ZAPAD,1137,668,64,,,197,298,180 BAN KEGLEVIC ZAGREBCENTAR ZAPAD
60,ZAGREBCENTAR ZAPAD,188,BAN KEGLEVIC,PROSTORIJE MJESNOG ODBORA,BLEIWEISOVA ULICA 24 ZAGREBCENTAR ZAPAD,1100,647,68,,,205,286,181 BAN KEGLEVIC ZAGREBCENTAR ZAPAD
61,RIJEKA,61,BANDEROVO,MEDICINSKI FAKULTET,BRACE BRANCHETTA 20 RIJEKA,784,333,13,,,79,150,61 BANDEROVO RIJEKA
62,RIJEKA,62,BANDEROVO,PROSTORIJE MJESNOG ODBORA,RUDOLFA TOMSICA 15 RIJEKA,967,474,42,,,126,170,62 BANDEROVO RIJEKA
63,CERNIK,3,BANICEVAC,DRUSTVENI DOM BANICEVAC,BANICEVAC CERNIK,164,98,6,,,41,30,3 BANICEVAC CERNIK
64,RAKOVEC,4,BANICEVEC,DRUSTVENI DOM,BANICEVEC 39 RAKOVEC,158,149,7,,,14,123,4 BANICEVEC RAKOVEC
65,DUBROVACKO PRIMORJE,3,BANICI,EX SKOLA BANICI BIRACKO MJESTO III MERGED HETERO,BANICI BB DUBROVACKO PRIMORJE,151,97,10,,,61,21,BANICIDUBROVACKO PRIMORJE MERGED HETERO
66,PASMAN,7,BANJ,PROSTORIJA MJESNOG ODBORA BANJ,BANJ PASMAN,228,103,13,,,41,31,7 BANJ PASMAN
67,PLOCE,11,BANJA,KUCA IVANA KARAMATICA STRIKANICA U BANJI MERGED HETERO,BANJA PLOCE,156,118,20,,,40,55,BANJAPLOCE MERGED HETERO
68,VRGORAC,3,BANJA,OSNOVNA SKOLA MERGED HETERO,BANJA VRGORAC,189,121,20,,,68,29,BANJAVRGORAC MERGED HETERO
69,SVETI IVAN ZELINA,21,BANJE SELO,DRUSTVENI DOM,BANJE SELO BB SVETI IVAN ZELINA,113,37,3,,,7,14,21 BANJE SELO SVETI IVAN ZELINA
70,STANKOVCI,2,BANJEVCI,PODRUCNA SKOLA BANJEVCI MERGED HETERO,BANJEVCI STANKOVCI,364,203,32,,,109,38,BANJEVCISTANKOVCI MERGED HETERO
71,RAB,7,BANJOL 1,OS IVANA RABLJANINA UCION IRAZ,BANJOL RAB,1140,616,69,,,243,234,7 BANJOL 1 RAB
72,RAB,6,BANJOL 2,PODRUCNA SKOLA BANJOL,BANJOL RAB,568,260,14,,,98,116,6 BANJOL 2 RAB
73,ZDENCI,3,BANKOVCI,MJESNI DOM,BANKOVCI 59 ZDENCI,103,55,1,,,21,13,3 BANKOVCI ZDENCI
74,KUTINA,22,BANOVA JARUGA,VATROGASNI DOM BANOVA JARUGA,BANOVA JARUGA KUTINA,572,250,15,,,109,81,22 BANOVA JARUGA KUTINA
75,BEBRINA,4,BANOVCI,DRUSTVENI DOM BANOVCI,BANOVCI 22 BEBRINA,292,147,9,,,75,33,4 BANOVCI BEBRINA
76,NIJEMCI,8,BANOVCI,OSNOVNA SKOLA ILACA BANOVCI PODRUCNA SKOLA BANOVCI,MTITA BB NIJEMCI,102,22,6,,,4,6,8 BANOVCI NIJEMCI
77,VRBOVEC,23,BANOVO,OSNOVNA SKOLA MERGED HETERO,BANOVO 13 VRBOVEC,92,56,7,,,13,26,BANOVOVRBOVEC MERGED HETERO
78,VELIKA GORICA,20,BAPCE,DRUSTVENI DOM,BAPCE BB VELIKA GORICA,115,65,4,,,33,12,24 BAPCE VELIKA GORICA
79,ILOK,5,BAPSKA,OSNOVNA SKOLA BAPSKA,RADICEVA BB ILOK,796,433,30,,,252,32,5 BAPSKA ILOK
80,PETLOVAC,2,BARANJSKO PETROVO SELO,OSNOVNA SKOLA,GLAVNA ULICA BB PETLOVAC,421,267,21,,,152,51,2 BARANJSKO PETROVO SELO PETLOVAC
81,KANFANAR,3,BARAT,OSNOVNA SKOLA U BARATU,BARAT KANFANAR,117,48,0,,,1,5,3 BARAT KANFANAR
82,BARBAN,1,BARBAN,DOLNJA SKOLA,BARBAN BARBAN,567,334,5,,,70,111,1 BARBAN BARBAN
83,KRAVARSKO,1,BARBARIC KRAVARSKI,KUCADAMIR SOVINA MERGED HETERO,DUGA ULICA 11 KRAVARSKO,165,92,10,,,44,23,BARBARIC KRAVARSKIKRAVARSKO MERGED HETERO
84,RAB,8,BARBAT,PODRUCNA SKOLA BARBAT,BARBAT RAB,1149,588,55,,,231,215,8 BARBAT RAB
85,PASMAN,3,BAROTUL,PROSTORIJA MJESNOG ODBORA BAROTUL,BAROTUL PASMAN,86,46,8,,,15,12,3 BAROTUL PASMAN
86,ZAGREBCENTAR ZAPAD,189,BARTOL KASIC,PROSTORIJE MJESNOG ODBORA,SELSKA CESTA 3 ZAGREBCENTAR ZAPAD,900,502,39,,,139,231,182 BARTOL KASIC ZAGREBCENTAR ZAPAD
87,ZAGREBCENTAR ZAPAD,190,BARTOL KASIC,PROSTORIJE MJESNOG ODBORA,SELSKA CESTA 3 ZAGREBCENTAR ZAPAD,610,339,19,,,103,150,183 BARTOL KASIC ZAGREBCENTAR ZAPAD
88,ZAGREBCENTAR ZAPAD,191,BARTOL KASIC,OS IVANA CANKARA,ULICA IVANA CANKARA 10 ZAGREBCENTAR ZAPAD,1198,707,63,,,197,320,184 BARTOL KASIC ZAGREBCENTAR ZAPAD
89,SIBINJ,5,BARTOLOVCI,DRUSTVENI DOM BARTOLOVCI,BARTOLOVCI HRVATSKIH BRANITELJA 86C SIBINJ,644,297,20,,,118,78,5 BARTOLOVCI SIBINJ
90,TRNOVEC BARTOLOVECKI,5,BARTOLOVEC,PROSTORIJE DRUSTVENOG DOMA,VARAZDINSKA ULICA 75 TRNOVEC BARTOLOVECKI,673,382,19,,,58,178,5 BARTOLOVEC TRNOVEC BARTOLOVECKI
91,BASKA,1,BASKA,PROSTORIJA VJENCAONE SOBA BR1,BASKA ZVONIMIROVA 114 BASKA,623,324,35,,,62,118,1 BASKA BASKA
92,BASKA,2,BASKA,PROSTORIJA VJENCAONE SOBA BR2,BASKA ZVONIMIROVA 114 BASKA,402,182,16,,,39,49,2 BASKA BASKA
93,BASKA VODA,1,BASKA VODA,ZGRADA OPCINE MERGED HETERO,OBALA SV NIKOLE 65 BASKA VODA,2121,1182,136,,,651,279,BASKA VODABASKA VODA MERGED HETERO
94,BASKA VODA,2,BAST,SKOLA BAST,BAST BR 48 BASKA VODA,134,90,3,,,51,30,3 BAST BASKA VODA
95,DRAZ,2,BATINA,DOM KULTURE,TRG SLOBODE 8 DRAZ,441,169,26,,,51,63,2 BATINA DRAZ
96,KUTINA,26,BATINA,DOM BATINA,BATINA KUTINA,179,112,4,,,49,48,26 BATINA KUTINA
97,DULOVAC,1,BATINJANI,DOM U BATINJANIMA,BATINJANI 70 DULOVAC,167,76,9,,,37,14,1 BATINJANI DULOVAC
98,KALINOVAC,3,BATINSKE,DRUSTVENI DOM BATINSKE,KANALSKA ULICA 11 KALINOVAC,107,69,1,,,33,20,3 BATINSKE KALINOVAC
99,GRACISCE,3,BATLUG,PROSTORIJE DRUSTVENOG DOMA,BATLUG GRACISCE,181,68,1,,,1,11,3 BATLUG GRACISCE
100,NOVA KAPELA,14,BATRINA,OS ANTUN MIHANOVIC BATRINA,BATRINA STJEPANA RADICA 156 NOVA KAPELA,373,189,12,,,63,64,14 BATRINA NOVA KAPELA
101,NOVA KAPELA,13,BATRINA,MJESNI DOM MERGED HETERO,BATRINA A STARCEVICA 2 NOVA KAPELA,449,237,19,,,104,68,BATRINANOVA KAPELA MERGED HETERO
102,GRACISCE,4,BAZGALJI,PROSTORIJE BIVSE SKOLE,BAZGALJI GRACISCE,201,91,13,,,6,16,4 BAZGALJI GRACISCE
103,BEBRINA,2,BEBRINA,DRUSTVENI DOM BEBRINA,BEBRINA 83 BEBRINA,360,143,13,,,78,28,2 BEBRINA BEBRINA
104,ORIOVAC,6,BECIC,PROSTOR MJESNOG ODBORA BECIC,BECIC ORIOVAC,96,52,3,,,25,15,6 BECIC ORIOVAC
105,BEDEKOVCINA,8,BEDEKOVCINA,PROSTORIJA UDRUGE UMIROVLJENIKA,BEDEKOVCINA TRG A STARCEVICA 15 BEDEKOVCINA,570,316,30,,,62,181,8 BEDEKOVCINA BEDEKOVCINA
106,BEDEKOVCINA,18,BEDEKOVCINA,STARA SKOLA KOD GRGICA PROSTORIJA 1VATROGASNI DOMZGRADA OPCINE DVORANA MERGED HETERO,BEDEKOVCINA BEDEKOVCINASTJEPANA RADICA 76B BEDEKOVCINABEDEKOVCINA BEDEKOVCINA,2220,1093,44,,,260,658,BEDEKOVCINABEDEKOVCINA MERGED HETERO
107,IVANEC,12,BEDENEC,VATROGASNI DOM BIRALISTE I,BEDENEC IVANEC,349,159,5,,,62,72,12 BEDENEC IVANEC
108,IVANEC,13,BEDENEC,VATROGASNI DOM BIRALISTE II,BEDENEC IVANEC,245,110,1,,,34,59,13 BEDENEC IVANEC
109,BEDENICA,1,BEDENICA,DRUSTVENI DOM,BEDENICA 112 BEDENICA,279,140,11,,,31,74,1 BEDENICA BEDENICA
110,NOVA RACA,12,BEDENIK,MJESNI DOM,BEDENIK 125 NOVA RACA,291,123,4,,,64,38,12 BEDENIK NOVA RACA
111,BEDNJA,1,BEDNJA,OSNOVNA SKOLA,LJUDEVITA GAJA 15 BEDNJA,799,386,20,,,128,153,1 BEDNJA BEDNJA
112,LEPOGLAVA,15,BEDNJICA,DRUSTVENI DOM BEDNJICA,BEDNJICA LEPOGLAVA,234,94,5,,,65,13,15 BEDNJICA LEPOGLAVA
113,BEREK,11,BEGOVACA,MJESNI DOM BEGOVACA,BEGOVACA 27 BEREK,24,19,4,,,6,8,11 BEGOVACA BEREK
114,CEPIN,3,BEKETINCI,OSNOVNA SKOLA BEKETINCI MERGED HETERO,CEPINSKA 57 CEPIN,470,235,13,,,114,47,BEKETINCICEPIN MERGED HETERO
115,RASINJA,7,BELANOVO SELO,DRUSTVENI DOM,BELANOVO SELO 24 RASINJA,18,14,0,,,4,8,7 BELANOVO SELO RASINJA
116,JASTREBARSKO,25,BELCICI,DOM DVD,BELCICI JASTREBARSKO,160,80,7,,,39,18,25 BELCICI JASTREBARSKO
117,ZLATAR,6,BELEC,VATROGASNI DOM,BELEC ZLATAR,859,255,9,,,121,80,6 BELEC ZLATAR
118,ZLATAR,5,BELECKO ZAVRSJE,KUCA BOZIDARA HATZA,BELECKO ZAVRSJE 11 ZLATAR,367,117,1,,,37,42,5 BELECKO ZAVRSJE ZLATAR
119,MALI LOSINJ,13,BELEJ,BELEJ PROSTORIJA ZADRUZNOG DOMA,BELEJ MALI LOSINJ,80,43,5,,,12,15,13 BELEJ MALI LOSINJ
120,SVETI ILIJA,5,BELETINEC,PROSTORIJE DJECJEG KLUBA U DRUSTVENOM DOMU BELETINECPROSTORIJE DRUSTVENOG DOMA U BELETINCU MERGED HETERO,BELETINEC STJEPANA RADICA 19 SVETI ILIJASTJEPANA RADICA 19 SVETI ILIJA,1005,548,16,,,225,228,BELETINECSVETI ILIJA MERGED HETERO
121,CRES,5,BELI,PROSTOR MJESNOG ODBORA BELI,BELI CRES,158,72,8,,,19,22,5 BELI CRES
122,BELI MANASTIR,4,BELI MANASTIR,CENTAR ZA KULTURU GRADA BELOG MANASTIRA,KRALJA TOMISLAVA 2 BELI MANASTIR,398,211,13,,,64,90,4 BELI MANASTIR BELI MANASTIR
123,BELI MANASTIR,9,BELI MANASTIR,DOM ZDRAVLJA BELI MANASTIR,SKOLSKA 5 BELI MANASTIR,478,261,10,,,99,100,9 BELI MANASTIR BELI MANASTIR
124,BELI MANASTIR,7,BELI MANASTIR,OSNOVNA SKOLA DR FRANJO TUDMAN,SV MARTINA 16 BELI MANASTIR,448,217,10,,,86,80,7 BELI MANASTIR BELI MANASTIR8 BELI MANASTIR BELI MANASTIR
125,BELI MANASTIR,5,BELI MANASTIR,ZGRADA HKUDA,KRALJA TOMISLAVA 11 BELI MANASTIR,414,197,8,,,67,75,5 BELI MANASTIR BELI MANASTIR
126,BELI MANASTIR,6,BELI MANASTIR,ZGRADA HRVATSKE ELEKTROPRIVREDE,KRALJA ZVONIMIRA 69 BELI MANASTIR,395,217,8,,,78,90,6 BELI MANASTIR BELI MANASTIR
127,BELI MANASTIR,3,BELI MANASTIR,ZGRADA P8 LJEPOTICA,IMRE NAGYA 2D BELI MANASTIR,454,249,12,,,78,101,3 BELI MANASTIR BELI MANASTIR
128,BELI MANASTIR,11,BELI MANASTIR,DOM ZA STARIJE I NEMOCNE OSOBEDOM ZA STARIJE I NEMOCNE OSOBE BARANJSKO SUNCEUDRUGA RODITELJA DJECE S POSEBNIM POTREBAMA BARANJSKI LEPTIRICI MERGED HETERO,BANA JELACICA 108 BELI MANASTIRKRALJA TOMISLAVA 61 BELI MANASTIROSJECKA ULICA 49A BELI MANASTIR,1668,873,50,,,331,305,BELI MANASTIRBELI MANASTIR MERGED HETERO
129,BELICA,1,BELICA,DVORANA DRUSTVENOG DOMA BELICA,ULICA KRALJA TOMISLAVA 100 BELICA,876,428,15,,,63,266,1 BELICA BELICA
130,BELICA,2,BELICA,OSNOVNA SKOLA UCIONICA BROJ 1,ULICA DR LJUDEVITA GAJA 21 BELICA,1068,489,13,,,83,294,2 BELICA BELICA
131,BELISCE,2,BELISCE,DOM UMIROVLJENIKA,VIJENAC JOSIPA JURJA STROSSMAYERA 67 BELISCE,802,428,25,,,115,124,2 BELISCE BELISCE
132,BELISCE,7,BELISCE,OSNOVNA SKOLA IVANA KUKULJEVICA,ULICA KRALJA TOMISLAVA 196 BELISCE,1769,926,79,,,221,284,3 BELISCE BELISCE4 BELISCE BELISCE
133,BELISCE,5,BELISCE,VATROGASNO SPREMISTE,ZELJEZNICKA 11 BELISCE,934,462,31,,,101,124,5 BELISCE BELISCE
134,BELISCE,7,BELISCE,DJECJI VRTIC MASLACAKGLAZBENA SKOLA MERGED HETERO,VIJENAC DR FRANJE TUDMANA 2 BELISCEVIJENAC DR FRANJE TUDMANA 3 BELISCE,1652,889,44,,,233,261,BELISCEBELISCE MERGED HETERO
135,DURDENOVAC,6,BELJEVINA,OSNOVNA SKOLA,LJUDEVITA GAJA 70 DURDENOVAC,355,194,2,,,113,41,6 BELJEVINA DURDENOVAC
136,DURDENOVAC,7,BELJEVINA,PROSTORIJA NK ZAGORAC,MATIJE GUPCA DURDENOVAC,227,115,10,,,55,25,7 BELJEVINA DURDENOVAC
137,BEDENICA,2,BELOSLAVEC,VATROGASNI DOM,BELOSLAVEC BB BEDENICA,213,103,4,,,32,43,2 BELOSLAVEC BEDENICA
138,ZAGREBISTOCNI DIO,68,BELOVAR,VATROGASNI DOM BELOVAR,VARAZDINSKA ULICA 36 ZAGREBISTOCNI DIO,415,203,22,,,62,60,66 BELOVAR ZAGREBISTOCNI DIO
139,RIJEKA,25,BELVEDER,CENTAR ZA ODGOJ I OBRAZOVANJE,SENJSKIH USKOKA 2 RIJEKA,928,459,31,,,92,212,25 BELVEDER RIJEKA
140,RIJEKA,26,BELVEDER,CENTAR ZA ODGOJ I OBRAZOVANJE,SENJSKIH USKOKA 2 RIJEKA,815,406,21,,,88,193,26 BELVEDER RIJEKA
141,RIJEKA,27,BELVEDER,DOM MLADIH RIJEKA,LAGINJINA 15 RIJEKA,1003,500,25,,,93,226,27 BELVEDER RIJEKA
142,MAGADENOVAC,2,BENICANCI,OSNOVNA SKOLA MATIJA GUBEC PODRUCNI ODJEL U BENICANCIMA MERGED HETERO,IVE LOLE RIBARA 27 MAGADENOVAC,383,185,9,,,82,49,BENICANCIMAGADENOVAC MERGED HETERO
143,BENKOVAC,1,BENKOVAC 1,OSNOVNA SKOLA BENKOVAC,BENKOVAC BENKOVAC,1181,523,66,,,279,107,1 BENKOVAC 1 BENKOVAC
