,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
0,ZAGREBISTOCNI DIO,63,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,VINODOLSKA ULICA 23 ZAGREBISTOCNI DIO,1242,663,57,,,255,200,61 30 SVIBNJA 1990 ZAGREBISTOCNI DIO
1,ZAGREBISTOCNI DIO,64,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,VINODOLSKA ULICA 23 ZAGREBISTOCNI DIO,1308,585,61,,,166,189,62 30 SVIBNJA 1990 ZAGREBISTOCNI DIO
2,ZAGREBISTOCNI DIO,65,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,VINODOLSKA ULICA 23 ZAGREBISTOCNI DIO,1234,604,62,,,219,177,63 30 SVIBNJA 1990 ZAGREBISTOCNI DIO
3,ZAGREBISTOCNI DIO,66,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,VINODOLSKA ULICA 23 ZAGREBISTOCNI DIO,1321,638,44,,,266,190,64 30 SVIBNJA 1990 ZAGREBISTOCNI DIO
4,SODOLOVCI,4,ADA,DRUSTVENI DOM,GLAVNA 6 SODOLOVCI,45,24,3,,,3,15,4 ADA SODOLOVCI
5,ZAGREBISTOCNI DIO,67,ADAMOVEC,PROSTORIJE MJESNOG ODBORA,ULICA KNEZA ADAMA 1 ZAGREBISTOCNI DIO,725,329,27,,,87,110,65 ADAMOVEC ZAGREBISTOCNI DIO
6,RESETARI,4,ADZAMOVCI,OSNOVNA SKOLA U ADZAMOVCIMA,S RADICA 3 RESETARI,522,209,9,,,108,67,4 ADZAMOVCI RESETARI
7,ERDUT,7,ALJMAS,PROSTORIJE MO,MLADENA PALINKASA 5 ERDUT,565,304,20,,,118,93,7 ALJMAS ERDUT
8,OROSLAVJE,3,ANDRASEVEC,DRUSTVENI DOM,ANDRASEVEC BARLOVICEVA 2 OROSLAVJE,741,348,30,,,67,187,3 ANDRASEVEC OROSLAVJE
9,ZAGREBCENTAR ZAPAD,2,ANDRIJA MEDULIC,PROSTORIJE MJESNOG ODBORA,MEDULICEVA ULICA 30 ZAGREBCENTAR ZAPAD,1028,607,48,,,196,258,2 ANDRIJA MEDULIC ZAGREBCENTAR ZAPAD
10,ZAGREBCENTAR ZAPAD,1,ANDRIJA MEDULIC,PRVA EKONOMSKA SKOLA MERGED HETERO,MEDULICEVA ULICA 33 ZAGREBCENTAR ZAPAD,1055,624,48,,,275,199,ANDRIJA MEDULICZAGREBCENTAR ZAPAD MERGED HETERO
11,ANDRIJASEVCI,1,ANDRIJASEVCI,OSNOVNA SKOLA IVANA BRLIC MAZURANIC,SKOLSKA 1 ANDRIJASEVCI,953,506,45,,,286,102,1 ANDRIJASEVCI ANDRIJASEVCI
