,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
0,ZAGREB-ISTOČNI DIO,61,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1277,544,42,192,104,"61 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
1,ZAGREB-ISTOČNI DIO,62,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1347,501,62,153,104,"62 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
2,ZAGREB-ISTOČNI DIO,63,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1236,480,59,144,87,"63 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
3,ZAGREB-ISTOČNI DIO,64,30 SVIBNJA 1990,PROSTORIJE MJESNOG ODBORA,"VINODOLSKA ULICA 23, ZAGREB-ISTOČNI DIO",1321,550,53,180,108,"64 30 SVIBNJA 1990, ZAGREBISTOČNI DIO"
4,ŠODOLOVCI,4,ADA,DRUŠTVENI DOM,"GLAVNA 6, ŠODOLOVCI",121,20,0,2,17,"4 ADA, ŠODOLOVCI"
5,ZAGREB-ISTOČNI DIO,65,ADAMOVEC,PROSTORIJE MJESNOG ODBORA,"ULICA KNEZA ADAMA 1, ZAGREB-ISTOČNI DIO",723,319,14,76,97,"65 ADAMOVEC, ZAGREBISTOČNI DIO"
6,REŠETARI,4,ADŽAMOVCI,OSNOVNA ŠKOLA U ADŽAMOVCIMA,"S. RADIĆA 3, REŠETARI",490,193,2,91,52,"4 ADŽAMOVCI, REŠETARI"
7,ERDUT,7,ALJMAŠ,PROSTORIJE MO,"MLADENA PALINKAŠA 5, ERDUT",555,279,4,117,41,"7 ALJMAŠ, ERDUT"
8,OROSLAVJE,3,ANDRAŠEVEC,DRUŠTVENI DOM,"ANDRAŠEVEC, BARLOVIĆEVA 2, OROSLAVJE",762,310,14,75,105,"3 ANDRAŠEVEC, OROSLAVJE"
9,ANDRIJAŠEVCI,1,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",930,405,13,212,42,"1 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
10,ANDRIJAŠEVCI,2,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",616,269,10,143,29,"2 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
11,ANDRIJAŠEVCI,3,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",663,295,13,177,35,"3 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
12,ANDRIJAŠEVCI,4,ANDRIJAŠEVCI,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ,"ŠKOLSKA 1, ANDRIJAŠEVCI",988,389,13,217,40,"4 ANDRIJAŠEVCI, ANDRIJAŠEVCI"
13,KOŠKA,9,ANDRIJEVAC,DRUŠTVENI DOM,"BRAĆE RADIĆA 2, KOŠKA",98,36,0,19,9,"9 ANDRIJEVAC, KOŠKA"
14,DUGO SELO,25,ANDRILOVEC,VATROGASNI DOM ANDRILOVEC,"ANDRILOVEC, ANDRILOVEČKA CESTA 83, DUGO SELO",247,85,9,25,23,"25 ANDRILOVEC, DUGO SELO"
15,ANTUNOVAC,1,ANTUNOVAC,HRVATSKI DOM,"BRAĆE RADIĆA 4, ANTUNOVAC",1028,607,17,395,66,"1 ANTUNOVAC, ANTUNOVAC"
16,ANTUNOVAC,2,ANTUNOVAC,OSNOVNA ŠKOLA ANTUNOVAC,"ŠKOLSKA ULICA 15, ANTUNOVAC",825,545,13,360,60,"2 ANTUNOVAC, ANTUNOVAC"
17,LUDBREG,6,APATIJA,DRUŠTVENI DOM,"APATIJA 21A, LUDBREG",199,120,0,53,19,"6 APATIJA, LUDBREG"
18,KRIŽEVCI,16,APATOVEC,PODRUČNA ŠKOLA APATOVEC,"APATOVEC, KRIŽEVCI",273,72,1,31,12,"16 APATOVEC, KRIŽEVCI"
19,NIJEMCI,5,APŠEVCI,OSNOVNA ŠKOLA LIPOVACPODRUČNA ŠKOLA APŠEVCI,"KRALJA TOMISLAVA 58, NIJEMCI",217,97,2,60,4,"5 APŠEVCI, NIJEMCI"
20,ZADAR,1,ARBANASI,MJESNI ODBOR ARBANASI,"TRG GOSPE LORETSKE 1, ZADAR",897,352,17,204,64,"1 ARBANASI, ZADAR"
21,ZADAR,2,ARBANASI,MJESNI ODBOR ARBANASI,"TRG GOSPE LORETSKE 1, ZADAR",1033,483,23,268,84,"2 ARBANASI, ZADAR"
22,POŽEGA,1,ARSLANOVCI I ŠPORTSKA DVORANA GRABRIK,POŽEGA,"ANTUNA KANIŽLIĆA 14A, POŽEGA",516,245,24,87,71,"1 ARSLANOVCI I ŠPORTSKA DVORANA GRABRIK, POŽEGA"
23,POŽEGA,2,ARSLANOVCI II PRIVATNA KUĆA ROKIĆ GORANA,POŽEGA,"ARSLANOVCI 11, POŽEGA",745,353,34,156,69,"2 ARSLANOVCI II PRIVATNA KUĆA ROKIĆ GORANA, POŽEGA"
24,POŽEGA,4,ARSLANOVCI IV TRGOVINA INLES,POŽEGA,"DUBROVAČKA 115, POŽEGA",610,287,19,134,37,"4 ARSLANOVCI IV TRGOVINA INLES, POŽEGA"
25,CISTA PROVO,1,ARŽANO,OSNOVNA ŠKOLA,"ARŽANO, CISTA PROVO",356,186,14,126,3,"1 ARŽANO, CISTA PROVO"
26,"ZAGREB-CENTAR, ZAPAD",31,AUGUST CESAREC,PROSTORIJE MJESNOG ODBORA,"TKALČIĆEVA ULICA 33 DVORANA, PRIZEMLJE DESNO, ZAGREB-CENTAR, ZAPAD",1314,637,45,224,118,"31 AUGUST CESAREC, ZAGREBCENTAR ZAPAD"
27,"ZAGREB-CENTAR, ZAPAD",3,AUGUST ŠENOA,PROSTORIJE MJESNOG ODBORA,"ULICA PAVLA HATZA 8, ZAGREB-CENTAR, ZAPAD",1076,570,55,138,130,"3 AUGUST ŠENOA, ZAGREBCENTAR ZAPAD"
28,"ZAGREB-CENTAR, ZAPAD",4,AUGUST ŠENOA,PROSTORIJE MJESNOG ODBORA,"ULICA PAVLA HATZA 8, ZAGREB-CENTAR, ZAPAD",1178,610,39,156,139,"4 AUGUST ŠENOA, ZAGREBCENTAR ZAPAD"
29,POKUPSKO,9,AUGUŠTANOVEC,U SJENICI,"AUGUŠTANOVEC BB, POKUPSKO",96,57,3,27,14,"9 AUGUŠTANOVEC, POKUPSKO"
30,BABINA GREDA,1,BABINA GREDA,ČITAONICA NOVA SALA,"KRALJA TOMISLAVA BB, BABINA GREDA",631,230,5,91,83,"1 BABINA GREDA, BABINA GREDA"
31,BABINA GREDA,2,BABINA GREDA,ČITAONICA ČEVATOVO,"BANA J.JELAČIĆA BB, BABINA GREDA",624,263,7,124,55,"2 BABINA GREDA, BABINA GREDA"
32,BABINA GREDA,3,BABINA GREDA,ČITAONICA DONJA MALA,"VLADIMIRA NAZORA 42, BABINA GREDA",856,328,2,158,79,"3 BABINA GREDA, BABINA GREDA"
33,BABINA GREDA,4,BABINA GREDA,ČITAONICA BERAVA,"BRAĆE RADIĆA 33, BABINA GREDA",524,210,5,96,52,"4 BABINA GREDA, BABINA GREDA"
34,BABINA GREDA,5,BABINA GREDA,ČITAONICA JELAS,"MIJATA STOJANOVIĆA 116, BABINA GREDA",270,99,4,31,26,"5 BABINA GREDA, BABINA GREDA"
35,IVANSKA,10,BABINAC,DRUŠTVENI DOM,"BABINAC 50, IVANSKA",109,56,2,5,33,"10 BABINAC, IVANSKA"
36,VELIKA PISANICA,4,BABINAC,MJESNI DOM,"BABINAC 34, VELIKA PISANICA",217,53,4,19,15,"4 BABINAC, VELIKA PISANICA"
37,CESTICA,7,BABINEC,PROSTORIJE VATROGASNOG DOMA DVDA BABINEC,"ŠKOLSKA ULICA, CESTICA",671,353,6,35,69,"7 BABINEC, CESTICA"
38,MLJET,4,BABINO POLJEZABREŽJE,DOM KULTURE  ZABREŽJE U BABINOM POLJU,"BABINO POLJE - ZABREŽJE BB, MLJET",150,102,11,38,30,"4 BABINO POLJEZABREŽJE, MLJET"
39,MLJET,5,BABINO POLJEZADUBLJE,ZGRADA STARA OPĆINA U BABINOM POLJU,"BABINO POLJE-ZADUBLJE BB, MLJET",132,82,6,31,33,"5 BABINO POLJEZADUBLJE, MLJET"
40,POREČ - PARENZO,1,BADERNA  MOMPADERNO,ZGRADA ŠKOLE,"BADERNA, POREČ - PARENZO",546,199,14,37,85,"1 BADERNA  MOMPADERNO, POREČ  PARENZO"
41,ZAŽABLJE,4,BADŽULA,KUĆA DRAGANA CRNČEVIĆA BEKLIJEBADŽULA,"BADŽULA, ZAŽABLJE",55,39,19,17,1,"4 BADŽULA, ZAŽABLJE"
42,KRK,9,BAJČIĆI,MJESNI DOM BAJČIĆI,"BAJČIĆI, KRK",423,221,26,55,75,"9 BAJČIĆI, KRK"
43,BAKAR,1,BAKAR,PROSTORIJE DOMA KULTURE MATIJA MAŽIĆ MERGED HETERO,"PALADA BB, BAKAR",1254,520,11,229,154,BAKAR MERGED HETERO
44,KRALJEVICA,3,BAKARAC,PROSTORIJE DRUŠTVENOG DOMA,"BAKARAC 8, KRALJEVICA",270,151,13,53,49,"3 BAKARAC, KRALJEVICA"
45,SLATINA,1,BAKIĆ,PODRUČNA OSNOVNA ŠKOLA BAKIĆ,"BAKIĆ, SLATINA",436,199,2,122,22,"1 BAKIĆ, SLATINA"
46,KOPRIVNICA,5,BAKOVČICA,PODRUČNA ŠKOLA BAKOVČICA,"ŠKOLSKA 35, KOPRIVNICA",267,116,6,39,40,"5 BAKOVČICA, KOPRIVNICA"
47,BALE - VALLE,1,BALE,PODRUČNA ŠKOLA JURJA DOBRILE,"DOMENICO CERNECCA 3, BALE - VALLE",1053,404,14,85,186,"1 BALE, BALE  VALLE"
48,"ZAGREB-CENTAR, ZAPAD",179,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"TRG FRANCUSKE REPUBLIKE 11, ZAGREB-CENTAR, ZAPAD",1167,633,36,147,136,"179 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
49,"ZAGREB-CENTAR, ZAPAD",180,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"BLEIWEISOVA ULICA 24, ZAGREB-CENTAR, ZAPAD",1148,621,39,149,143,"180 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
50,"ZAGREB-CENTAR, ZAPAD",181,BAN KEGLEVIĆ,PROSTORIJE MJESNOG ODBORA,"BLEIWEISOVA ULICA 24, ZAGREB-CENTAR, ZAPAD",1077,617,37,160,146,"181 BAN KEGLEVIĆ, ZAGREBCENTAR ZAPAD"
51,RIJEKA,61,BANDEROVO,MEDICINSKI FAKULTET,"BRAĆE BRANCHETTA 20, RIJEKA",797,281,18,71,98,"61 BANDEROVO, RIJEKA"
52,RIJEKA,62,BANDEROVO,PROSTORIJE MJESNOG ODBORA,"RUDOLFA TOMŠIĆA 15, RIJEKA",1025,424,27,129,140,"62 BANDEROVO, RIJEKA"
53,CERNIK,3,BANIĆEVAC,DRUŠTVENI DOM BANIĆEVAC,"BANIĆEVAC, CERNIK",161,100,0,42,26,"3 BANIĆEVAC, CERNIK"
54,DUBROVAČKO PRIMORJE,3,BANIĆI,EX ŠKOLA BANIĆI BIRAČKO MJESTO III MERGED HETERO,"BANIĆI BB, DUBROVAČKO PRIMORJE",212,119,13,73,21,BANIĆI MERGED HETERO
55,RAKOVEC,4,BANIČEVEC,DRUŠTVENI DOM,"BANIČEVEC 39, RAKOVEC",149,135,0,53,13,"4 BANIČEVEC, RAKOVEC"
56,PAŠMAN,7,BANJ,PROSTORIJA MJESNOG ODBORA BANJ,"BANJ, PAŠMAN",221,99,4,42,26,"7 BANJ, PAŠMAN"
57,VRGORACPLOČE,14,BANJA,KUĆA DRINKA GRANIĆAKUĆA POKJOKE BATINOVIĆA MERGED HETERO,"BANJA 61, VRGORACPUT VRILA 5, BANJA, PLOČE",345,198,15,76,54,BANJA MERGED HETERO
58,SVETI IVAN ZELINA,21,BANJE SELO,DRUŠTVENI DOM,"BANJE SELO 48, SVETI IVAN ZELINA",111,30,6,5,5,"21 BANJE SELO, SVETI IVAN ZELINA"
59,STANKOVCI,2,BANJEVCI,PODRUČNA ŠKOLA BANJEVCI MERGED HETERO,"BANJEVCI, STANKOVCI",371,189,12,96,17,BANJEVCI MERGED HETERO
60,RAB,7,BANJOL 1,OŠ IVANA  RABLJANINA   UČION IRAZ,"BANJOL, RAB",1135,618,72,213,175,"7 BANJOL 1, RAB"
61,RAB,6,BANJOL 2,PODRUČNA ŠKOLA BANJOL,"BANJOL, RAB",589,281,35,105,92,"6 BANJOL 2, RAB"
62,ZDENCI,3,BANKOVCI,MJESNI DOM,"BANKOVCI 59, ZDENCI",104,71,0,27,17,"3 BANKOVCI, ZDENCI"
63,KUTINA,22,BANOVA JARUGA,VATROGASNI DOM BANOVA JARUGA,"BANOVA JARUGA, KUTINA",565,229,12,109,51,"22 BANOVA JARUGA, KUTINA"
64,BEBRINA,4,BANOVCI,DRUŠTVENI DOM BANOVCI,"BANOVCI 20, BEBRINA",288,125,2,53,27,"4 BANOVCI, BEBRINA"
65,NIJEMCI,8,BANOVCI,OSNOVNA ŠKOLA ILAČA BANOVCI PODRUČNA ŠKOLA BANOVCI,"M.TITA BB, NIJEMCI",205,16,0,5,8,"8 BANOVCI, NIJEMCI"
66,VRBOVEC,23,BANOVO,OSNOVNA ŠKOLA UČIONICA BR 1 MERGED HETERO,"BANOVO 13, VRBOVEC",91,39,3,5,19,BANOVO MERGED HETERO
67,ILOK,5,BAPSKA,OSNOVNA ŠKOLA BAPSKA,"STJEPANA RADIĆA 11, ILOK",750,399,26,200,13,"5 BAPSKA, ILOK"
68,VELIKA GORICA,24,BAPČE,DRUŠTVENI DOM,"BAPČA BB, VELIKA GORICA",109,52,6,22,5,"24 BAPČE, VELIKA GORICA"
69,PETLOVAC,2,BARANJSKO PETROVO SELO,OSNOVNA ŠKOLA,"KOLODVORSKA 74E, PETLOVAC",416,245,15,143,20,"2 BARANJSKO PETROVO SELO, PETLOVAC"
70,KANFANAR,3,BARAT,OSNOVNA ŠKOLA U BARATU,"BARAT, KANFANAR",102,46,0,3,36,"3 BARAT, KANFANAR"
71,BARBAN,1,BARBAN,DOLNJA ŠKOLA,"BARBAN, BARBAN",526,269,4,50,175,"1 BARBAN, BARBAN"
72,KRAVARSKO,1,BARBARIĆ KRAVARSKI,OPĆINSKI DOM MERGED HETERO,"STARA GORA 69, KRAVARSKO",164,98,6,46,18,BARBARIĆ KRAVARSKI MERGED HETERO
73,RAB,8,BARBAT,PODRUČNA ŠKOLA  BARBAT,"BARBAT, RAB",1121,523,31,228,140,"8 BARBAT, RAB"
74,PAŠMAN,3,BAROTUL,PROSTORIJA MJESNOG ODBORA BAROTUL,"BAROTUL, PAŠMAN",85,50,8,19,13,"3 BAROTUL, PAŠMAN"
75,"ZAGREB-CENTAR, ZAPAD",182,BARTOL KAŠIĆ,PROSTORIJE MJESNOG ODBORA,"SELSKA CESTA 3, ZAGREB-CENTAR, ZAPAD",739,414,39,100,76,"182 BARTOL KAŠIĆ, ZAGREBCENTAR ZAPAD"
76,"ZAGREB-CENTAR, ZAPAD",183,BARTOL KAŠIĆ,PROSTORIJE MJESNOG ODBORA,"SELSKA CESTA 3, ZAGREB-CENTAR, ZAPAD",692,323,17,80,72,"183 BARTOL KAŠIĆ, ZAGREBCENTAR ZAPAD"
77,"ZAGREB-CENTAR, ZAPAD",184,BARTOL KAŠIĆ,OŠ IVANA CANKARA,"ULICA IVANA CANKARA 10, ZAGREB-CENTAR, ZAPAD",1269,654,30,179,150,"184 BARTOL KAŠIĆ, ZAGREBCENTAR ZAPAD"
78,SIBINJ,5,BARTOLOVCI,DRUŠTVENI DOM BARTOLOVCI,"BARTOLOVCI, HRVATSKIH BRANITELJA 86/C, SIBINJ",615,236,10,119,36,"5 BARTOLOVCI, SIBINJ"
79,TRNOVEC BARTOLOVEČKI,5,BARTOLOVEC,PROSTORIJE DRUŠTVENOG DOMA,"VARAŽDINSKA ULICA 75, TRNOVEC BARTOLOVEČKI",648,294,8,80,80,"5 BARTOLOVEC, TRNOVEC BARTOLOVEČKI"
80,BAŠKA VODA,3,BAST,ŠKOLA BAST,"BAST BR. 48, BAŠKA VODA",124,84,2,40,29,"3 BAST, BAŠKA VODA"
81,DRAŽ,2,BATINA,DOM KULTURE,"TRG SLOBODE 8, DRAŽ",586,177,3,66,44,"2 BATINA, DRAŽ"
82,KUTINA,26,BATINA,DOM BATINA,"BATINA, KUTINA",174,102,7,46,30,"26 BATINA, KUTINA"
83,ĐULOVAC,1,BATINJANI,DOM U BATINJANIMA,"BATINJANI 70, ĐULOVAC",208,68,1,36,14,"1 BATINJANI, ĐULOVAC"
84,KALINOVAC,3,BATINSKE,DRUŠTVENI DOM BATINSKE,"KANALSKA ULICA 11, KALINOVAC",96,51,2,25,10,"3 BATINSKE, KALINOVAC"
85,GRAČIŠĆE,3,BATLUG,PROSTORIJE DRUŠTVENOG DOMA,"BATLUG, GRAČIŠĆE",187,60,3,2,36,"3 BATLUG, GRAČIŠĆE"
86,NOVA KAPELA,14,BATRINA,OŠ ANTUN MIHANOVIĆ BATRINA,"BATRINA, STJEPANA RADIĆA 156, NOVA KAPELA",343,167,6,79,40,"14 BATRINA, NOVA KAPELA"
87,NOVA KAPELA,13,BATRINA,DRUŠTVENI DOM MERGED HETERO,"BATRINA, A. STARČEVIĆA 2, NOVA KAPELA",425,198,9,79,40,BATRINA MERGED HETERO
88,GRAČIŠĆE,4,BAZGALJI,PROSTORIJE BIVŠE ŠKOLE,"BAZGALJI, GRAČIŠĆE",199,83,7,12,41,"4 BAZGALJI, GRAČIŠĆE"
89,HRVATSKA DUBICA,3,BAĆIN,HRVATSKI DOM BAĆIN,"BAĆIN 88, HRVATSKA DUBICA",161,85,7,55,1,"3 BAĆIN, HRVATSKA DUBICA"
90,CERNIK,4,BAĆIN DOL,DRUŠTVENI DOM BAĆIN DOL,"BAĆIN DOL, CERNIK",297,117,8,47,21,"4 BAĆIN DOL, CERNIK"
91,PLOČE,12,BAĆINA,DOM KULTURE U BAĆINI,"BAĆINA, PLOČE",488,268,20,62,117,"12 BAĆINA, PLOČE"
92,GRADINA,3,BAČEVAC,PODRUČNA ŠKOLA BAČEVAC,"BAČEVAC 67, GRADINA",319,157,2,73,18,"3 BAČEVAC, GRADINA"
93,VELIKA PISANICA,7,BAČKOVICA,MJESNI DOM,"BAČKOVICA 60, VELIKA PISANICA",43,12,0,1,7,"7 BAČKOVICA, VELIKA PISANICA"
94,VIŠNJAN - VISIGNANO,6,BAČVA,UREDSKI KONTEJNER ISPRED CRKVE,"BAČVA, VIŠNJAN - VISIGNANO",194,72,3,18,33,"6 BAČVA, VIŠNJAN  VISIGNANO"
95,DUBRAVA,9,BAĐINEC,DRUŠTVENI DOM,"BAĐINEC, DUBRAVA",118,71,2,48,6,"9 BAĐINEC, DUBRAVA"
96,BAŠKA,1,BAŠKA,PROSTORIJA VJENČAONE  SOBA BR1,"BAŠKA, ZVONIMIROVA 114, BAŠKA",618,302,20,80,126,"1 BAŠKA, BAŠKA"
97,BAŠKA,2,BAŠKA,PROSTORIJA VJENČAONE  SOBA BR2,"BAŠKA, ZVONIMIROVA 114, BAŠKA",419,188,13,67,63,"2 BAŠKA, BAŠKA"
98,BEBRINA,2,BEBRINA,DRUŠTVENI DOM BEBRINA,"BEBRINA 83, BEBRINA",347,135,3,63,16,"2 BEBRINA, BEBRINA"
99,BEDEKOVČINA,8,BEDEKOVČINA,PROSTORIJA UDRUGE UMIROVLJENIKA,"BEDEKOVČINA, TRG A. STARČEVIĆA 15, BEDEKOVČINA",561,268,6,70,122,"8 BEDEKOVČINA, BEDEKOVČINA"
100,BEDEKOVČINA,7,BEDEKOVČINA,ZGRADA OPĆINE DVORANA,"BEDEKOVČINA, TRG A. STARČEVIĆA 4, BEDEKOVČINA",921,400,13,84,207,"7 BEDEKOVČINA, BEDEKOVČINA"
101,BEDEKOVČINABEDEKOVČINA,11,BEDEKOVČINA,STARA ŠKOLA KOD GRGIĆAVATROGASNI DOM BEDEKOVČINA MERGED HETERO,"BEDEKOVČINA, STJEPANA RADIĆA 78, BEDEKOVČINASTJEPANA RADIĆA 76A, BEDEKOVČINA",1295,576,19,190,264,BEDEKOVČINA MERGED HETERO
102,IVANEC,12,BEDENEC,VATROGASNI DOM  BIRALIŠTE I,"BEDENEC, IVANEC",338,132,2,53,24,"12 BEDENEC, IVANEC"
103,IVANEC,13,BEDENEC,VATROGASNI DOM  BIRALIŠTE II MERGED HETERO,"BEDENEC, IVANEC",237,93,1,27,18,BEDENEC MERGED HETERO
104,BEDENICA,1,BEDENICA,DRUŠTVENI DOM,"BEDENICA 112, BEDENICA",289,123,13,32,25,"1 BEDENICA, BEDENICA"
105,NOVA RAČA,12,BEDENIK,MJESNI DOM,"BEDENIK 125, NOVA RAČA",341,122,1,56,36,"12 BEDENIK, NOVA RAČA"
106,BEDNJA,1,BEDNJA,OSNOVNA ŠKOLA,"LJUDEVITA GAJA 15, BEDNJA",782,367,10,214,45,"1 BEDNJA, BEDNJA"
107,LEPOGLAVA,15,BEDNJICA,DRUŠTVENI DOM BEDNJICA,"BEDNJICA, LEPOGLAVA",220,72,2,43,4,"15 BEDNJICA, LEPOGLAVA"
108,BEREK,11,BEGOVAČA,MJESNI DOM BEGOVAČA,"BEGOVAČA 27, BEREK",24,15,3,5,4,"11 BEGOVAČA, BEREK"
109,ČEPIN,3,BEKETINCI,OSNOVNA ŠKOLA MILKA CEPELIĆA MERGED HETERO,"ČEPINSKA 55, ČEPIN",480,240,10,118,18,BEKETINCI MERGED HETERO
110,RASINJA,7,BELANOVO SELO,DRUŠTVENI DOM,"BELANOVO SELO 24, RASINJA",29,19,0,5,10,"7 BELANOVO SELO, RASINJA"
111,ZLATAR,6,BELEC,VATROGASNI DOM,"BELEC, ZLATAR",820,252,1,130,66,"6 BELEC, ZLATAR"
112,MALI LOŠINJ,13,BELEJ,BELEJ  PROSTORIJA ZADRUŽNOG DOMA,"BELEJ, MALI LOŠINJ",80,38,3,10,13,"13 BELEJ, MALI LOŠINJ"
113,SVETI ILIJASVETI ILIJA,5,BELETINEC,PROSTORIJE DRUŠTVENOG DOMA U BELETINCU  VELIKA SALA DESNOPROSTORIJE DRUŠTVENOG DOMA U BELETINCU  VELIKA SALA LIJEVO MERGED HETERO,"STJEPANA RADIĆA 19, SVETI ILIJASTJEPANA RADIĆA 19, SVETI ILIJA",993,532,8,305,109,BELETINEC MERGED HETERO
114,ZLATAR,5,BELEČKO ZAVRŠJE,KUĆA BOŽIDARA HATZA,"BELEČKO ZAVRŠJE 11, ZLATAR",342,93,2,33,21,"5 BELEČKO ZAVRŠJE, ZLATAR"
115,CRES,5,BELI,PROSTOR MJESNOG ODBORA BELI,"BELI, CRES",178,79,9,18,29,"5 BELI, CRES"
116,BELICA,1,BELICA,DVORANA DRUŠTVENOG DOMA BELICA,"ULICA KRALJA TOMISLAVA 100, BELICA",837,342,5,86,169,"1 BELICA, BELICA"
117,BELICA,2,BELICA,OSNOVNA ŠKOLA  UČIONICA BROJ 1,"ULICA DR. LJUDEVITA GAJA 21, BELICA",1093,446,7,120,222,"2 BELICA, BELICA"
118,BELIŠĆE,6,BELIŠĆE,DJEČJI VRTIĆ MASLAČAK,"VIJENAC DR. FRANJE TUĐMANA 2, BELIŠĆE",860,381,11,99,74,"6 BELIŠĆE, BELIŠĆE"
119,BELIŠĆE,2,BELIŠĆE,DOM UMIROVLJENIKA,"VIJENAC JOSIPA JURJA STROSSMAYERA 67, BELIŠĆE",785,390,23,98,74,"2 BELIŠĆE, BELIŠĆE"
120,BELIŠĆEBELIŠĆE,7,BELIŠĆE,OSNOVNA ŠKOLA IVANA KUKULJEVIĆA,"ULICA KRALJA TOMISLAVA 196, BELIŠĆEULICA KRALJA TOMISLAVA 196, BELIŠĆE",1803,865,35,229,169,"3 BELIŠĆE, BELIŠĆE4 BELIŠĆE, BELIŠĆE"
121,BELIŠĆE,5,BELIŠĆE,VATROGASNO SPREMIŠTE,"ŽELJEZNIČKA 11, BELIŠĆE",944,427,11,104,52,"5 BELIŠĆE, BELIŠĆE"
122,BELIŠĆE,1,BELIŠĆE,GLAZBENA ŠKOLA MERGED HETERO,"VIJENAC DR. FRANJE TUĐMANA 3, BELIŠĆE",761,360,10,86,77,BELIŠĆE MERGED HETERO
123,ĐURĐENOVAC,6,BELJEVINA,OSNOVNA ŠKOLA,"LJUDEVITA GAJA 70, ĐURĐENOVAC",338,156,1,77,19,"6 BELJEVINA, ĐURĐENOVAC"
124,ĐURĐENOVAC,7,BELJEVINA,PROSTORIJA NK ZAGORAC,"MATIJE GUPCA, ĐURĐENOVAC",210,98,2,54,19,"7 BELJEVINA, ĐURĐENOVAC"
125,BEDENICA,2,BELOSLAVEC,VATROGASNI DOM,"BELOSLAVEC BB, BEDENICA",210,83,3,30,25,"2 BELOSLAVEC, BEDENICA"
126,ZAGREB-ISTOČNI DIO,66,BELOVAR,VATROGASNI DOM BELOVAR,"VARAŽDINSKA ULICA 36, ZAGREB-ISTOČNI DIO",412,195,16,64,38,"66 BELOVAR, ZAGREBISTOČNI DIO"
127,RIJEKA,25,BELVEDER,CENTAR ZA ODGOJ I OBRAZOVANJE,"SENJSKIH USKOKA 2, RIJEKA",923,391,32,94,128,"25 BELVEDER, RIJEKA"
128,RIJEKA,26,BELVEDER,CENTAR ZA ODGOJ I OBRAZOVANJE,"SENJSKIH USKOKA 2, RIJEKA",802,358,24,79,135,"26 BELVEDER, RIJEKA"
129,RIJEKA,27,BELVEDER,DOM MLADIH RIJEKA,"LAGINJINA 15, RIJEKA",992,377,11,70,156,"27 BELVEDER, RIJEKA"
130,JASTREBARSKO,25,BELČIĆI,DOM DVD,"BELČIĆI, JASTREBARSKO",164,67,2,33,9,"25 BELČIĆI, JASTREBARSKO"
131,MAGADENOVAC,2,BENIČANCI,MJESNI DOM MERGED HETERO,"IVE LOLE RIBARA 41A, MAGADENOVAC",385,183,3,64,31,BENIČANCI MERGED HETERO
132,BENKOVAC,1,BENKOVAC 1,OSNOVNA ŠKOLA BENKOVAC,"BENKOVAC, BENKOVAC",1374,456,43,229,60,"1 BENKOVAC 1, BENKOVAC"
133,BENKOVAC,2,BENKOVAC 2,OSNOVNA ŠKOLA BENKOVAC,"BENKOVAC, BENKOVAC",1429,436,30,172,66,"2 BENKOVAC 2, BENKOVAC"
134,BENKOVAC,3,BENKOVAČKO SELO,OSNOVNA ŠKOLA BENKOVAC,"BENKOVAC, BENKOVAC",805,190,21,88,22,"3 BENKOVAČKO SELO, BENKOVAC"
135,BEDNJA,6,BENKOVEC,KUĆA ANICE PRAVICA MERGED HETERO,"BENKOVEC 33 D, BEDNJA",163,68,2,33,15,BENKOVEC MERGED HETERO
136,PETROVSKO,2,BENKOVEC PETROVSKI,OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA UČIONICA BR 2 MERGED HETERO,"PETROVSKO 58, PETROVSKO",103,49,0,24,11,BENKOVEC PETROVSKI MERGED HETERO
