,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
4054,SPLITSPLITSPLITSPLITSPLITSPLITSPLITSPLIT,908,SPLIT,OŠ SUĆIDAR,"PERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLITPERIVOJ ANE ROJE 1, SPLIT",8143,3485,420,1204,695,"110 SPLIT, SPLIT111 SPLIT, SPLIT112 SPLIT, SPLIT113 SPLIT, SPLIT114 SPLIT, SPLIT115 SPLIT, SPLIT116 SPLIT, SPLIT117 SPLIT, SPLIT"
4055,SPLITSPLITSPLITSPLIT,480,SPLIT,OŠ TRSTENIK,"DINKA ŠIMUNOVIĆA 22, SPLITDINKA ŠIMUNOVIĆA 22, SPLITDINKA ŠIMUNOVIĆA 22, SPLITDINKA ŠIMUNOVIĆA 22, SPLIT",3821,1849,158,557,532,"118 SPLIT, SPLIT119 SPLIT, SPLIT120 SPLIT, SPLIT123 SPLIT, SPLIT"
4056,SPLIT,10,SPLIT,OŠBLATINE ŠKRAPE,"NA KRIŽICE 2, SPLIT",1143,558,79,219,97,"10 SPLIT, SPLIT"
4057,SPLITSPLITSPLITSPLIT,526,SPLIT,OŠBRDA,"BRDA 2, SPLITBRDA 2, SPLITBRDA 2, SPLITBRDA 2, SPLIT",3907,1853,252,742,258,"130 SPLIT, SPLIT131 SPLIT, SPLIT132 SPLIT, SPLIT133 SPLIT, SPLIT"
4058,SPLITSPLITSPLITSPLITSPLIT,681,SPLIT,OŠMEJAŠI,"MEJAŠI 20, SPLITMEJAŠI 20, SPLITMEJAŠI 20, SPLITMEJAŠI 20, SPLITMEJAŠI 20, SPLIT",6245,2806,376,1323,266,"134 SPLIT, SPLIT135 SPLIT, SPLIT136 SPLIT, SPLIT137 SPLIT, SPLIT139 SPLIT, SPLIT"
4059,SPLITSPLIT,8,SPLIT,OŠPOJIŠAN,"VIŠKA 12, SPLITVIŠKA 12, SPLIT",2247,1088,124,309,277,"2 SPLIT, SPLIT6 SPLIT, SPLIT"
4060,SPLITSPLITSPLIT,423,SPLIT,OŠRAVNE NJIVE,"SARAJEVSKA 30, SPLITSARAJEVSKA 30, SPLITSARAJEVSKA 30, SPLIT",2990,1429,221,595,178,"140 SPLIT, SPLIT141 SPLIT, SPLIT142 SPLIT, SPLIT"
4061,SPLITSPLIT,294,SPLIT,OŠVISOKA,"VRH VISOKE 8, SPLITVRH VISOKE 8, SPLIT",2907,1380,177,693,117,"146 SPLIT, SPLIT148 SPLIT, SPLIT"
4062,SPLITSPLIT,103,SPLIT,POMORSKA ŠKOLA,"ZRINJSKO FRANKOPANSKA 36, SPLITZRINJSKO FRANKOPANSKA 36, SPLIT",2187,1058,80,345,249,"49 SPLIT, SPLIT54 SPLIT, SPLIT"
4063,SPLITSPLIT,73,SPLIT,SPORTSKI CENTAR GRIPE,"OSJEČKA 11, SPLITOSJEČKA 11, SPLIT",1675,813,90,229,259,"36 SPLIT, SPLIT37 SPLIT, SPLIT"
